sys_updated_by,number,closed_by,state,caller_id,category,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority
admin,INC0000000000,Fred Luddy,Closed,ITIL User,Network,Fred Luddy,2023-01-01 23:02:00,2023-01-08 16:09:39.085741547,2023-01-08 16:09:39.085741547,Internet connectivity lost on floor 3,Network,1 - Critical
system,INC0000000001,Howard Johnson,Closed,Don Goodliffe,Hardware,Luke Wilson,2023-01-02 17:54:00,2023-01-18 18:13:28.278085792,2023-01-18 18:13:28.278085792,Printer not working properly,Hardware,2 - High
admin,INC0000000002,Charlie Whitherspoon,Resolved,ITIL User,Hardware,Fred Luddy,2023-01-02 19:37:00,2023-01-08 20:37:19.213132702,2023-01-08 20:37:19.213132702,The office printer is not functioning,Hardware,2 - High
system,INC0000000003,Luke Wilson,Closed,Bud Richman,Database,Howard Johnson,2023-01-03 02:41:00,2023-01-13 05:15:01.919800558,2023-01-13 05:15:01.919800558,Unable to connect to the database,Database,2 - High
employee,INC0000000004,Fred Luddy,Closed,David Loo,Hardware,Beth Anglin,2023-01-03 10:04:00,2023-01-05 20:05:17.046782206,2023-01-05 20:05:17.046782206,Printer is not working properly,Hardware,2 - High
system,INC0000000005,Beth Anglin,Resolved,ITIL User,Hardware,Beth Anglin,2023-01-04 00:53:00,2023-01-05 00:53:00.000000000,2023-01-05 00:53:00.000000000,Monitor not displaying anything,Hardware,2 - High
admin,INC0000000006,Luke Wilson,Resolved,Bud Richman,Hardware,Beth Anglin,2023-01-04 11:45:00,2023-01-07 08:41:45.445028300,2023-01-07 08:41:45.445028300,"Keyboard malfunctioning, keys stick",Hardware,2 - High
employee,INC0000000007,Luke Wilson,Resolved,ITIL User,Network,Luke Wilson,2023-01-04 16:58:00,2023-01-05 19:42:22.953948439,2023-01-05 19:42:22.953948439,Unable to connect to VPN,Network,2 - High
system,INC0000000008,Charlie Whitherspoon,Closed,Don Goodliffe,Hardware,Charlie Whitherspoon,2023-01-05 09:45:00,2023-01-18 05:21:10.530411975,2023-01-18 05:21:10.530411975,Maintenance needed for office printer,Hardware,3 - Moderate
system,INC0000000009,Luke Wilson,Closed,Bud Richman,Hardware,Charlie Whitherspoon,2023-01-06 18:25:00,2023-01-19 15:51:01.410625601,2023-01-19 15:51:01.410625601,Unable to connect to the wireless printer,Hardware,2 - High
admin,INC0000000010,Beth Anglin,Closed,David Loo,Hardware,Howard Johnson,2023-01-07 08:35:00,2023-01-09 22:24:55.711108142,2023-01-09 22:24:55.711108142,Printers in third floor are not functioning,Hardware,2 - High
system,INC0000000011,Howard Johnson,Closed,Don Goodliffe,Hardware,Fred Luddy,2023-01-07 18:50:00,2023-01-19 10:10:21.295961389,2023-01-19 10:10:21.295961389,Printer not working properly,Hardware,2 - High
admin,INC0000000012,Beth Anglin,Closed,Don Goodliffe,Hardware,Fred Luddy,2023-01-08 00:21:00,2023-01-17 08:34:59.840010185,2023-01-17 08:34:59.840010185,Hard drive failure on personal workstation,Hardware,1 - Critical
admin,INC0000000013,Howard Johnson,Closed,David Loo,Hardware,Howard Johnson,2023-01-08 23:53:00,2023-01-10 09:16:12.807575972,2023-01-10 09:16:12.807575972,Printer is not functioning properly,Hardware,2 - High
system,INC0000000014,Luke Wilson,Resolved,Bud Richman,Inquiry / Help,Howard Johnson,2023-01-09 16:01:00,2023-01-10 16:01:00.000000000,2023-01-10 16:01:00.000000000,Need help with software installation,Service Desk,3 - Moderate
employee,INC0000000015,Howard Johnson,Closed,ITIL User,Hardware,Luke Wilson,2023-01-11 12:36:00,2023-01-14 18:16:45.221283040,2023-01-14 18:16:45.221283040,"Printer malfunction, paper jam",Hardware,2 - High
employee,INC0000000016,Charlie Whitherspoon,Closed,ITIL User,Hardware,Beth Anglin,2023-01-12 18:06:00,2023-01-17 06:08:12.288388655,2023-01-17 06:08:12.288388655,Need a replacement for cracked monitor,Hardware,2 - High
admin,INC0000000017,Howard Johnson,Resolved,Don Goodliffe,Hardware,Beth Anglin,2023-01-14 21:59:00,2023-01-24 22:39:44.000558867,2023-01-24 22:39:44.000558867,Unresponsive desktop mouse issue,Hardware,2 - High
admin,INC0000000018,Fred Luddy,Resolved,ITIL User,Software,Fred Luddy,2023-01-16 00:24:00,2023-01-23 01:27:53.229280204,2023-01-23 01:27:53.229280204,Unable to install software update,Software,2 - High
system,INC0000000019,Charlie Whitherspoon,Resolved,Don Goodliffe,Hardware,Charlie Whitherspoon,2023-01-16 19:31:00,2023-01-26 19:04:11.880112476,2023-01-26 19:04:11.880112476,Power supply failure on desktop,Hardware,2 - High
system,INC0000000020,Beth Anglin,Closed,Don Goodliffe,Hardware,Charlie Whitherspoon,2023-01-17 00:41:00,2023-01-24 07:52:18.221589415,2023-01-24 07:52:18.221589415,Keyboard not responding,Hardware,2 - High
employee,INC0000000021,Luke Wilson,Closed,Bud Richman,Hardware,Charlie Whitherspoon,2023-01-17 03:24:00,2023-01-23 06:30:47.907170442,2023-01-23 06:30:47.907170442,Printer not responding,Hardware,2 - High
system,INC0000000022,Charlie Whitherspoon,Closed,ITIL User,Hardware,Fred Luddy,2023-01-17 04:17:00,2023-01-25 06:57:00.212360592,2023-01-25 06:57:00.212360592,Printer is not working properly,Hardware,2 - High
