sys_updated_on,assigned_to,caller_id,number,state,closed_by,opened_at,closed_at,sys_updated_by,short_description,assignment_group,priority,category
2023-01-25 14:24:34.550757731,Fred Luddy,David Loo,INC0000000000,Closed,Fred Luddy,2023-01-21 08:50:00,2023-01-25 14:24:34.550757731,admin,Cannot connect to office WiFi,Network,2 - High,Network
2023-02-16 22:47:56.554457070,Beth Anglin,ITIL User,INC0000000001,Closed,Charlie Whitherspoon,2023-01-27 18:14:00,2023-02-16 22:47:56.554457070,employee,Unable to connect to the office VPN,Network,2 - High,Network
2023-02-13 15:46:45.243034254,Fred Luddy,Bud Richman,INC0000000002,Closed,Fred Luddy,2023-02-06 17:40:00,2023-02-13 15:46:45.243034254,system,Unable to access online database,Database,1 - Critical,Database
2023-02-20 10:56:41.744198711,Beth Anglin,Don Goodliffe,INC0000000003,Resolved,Beth Anglin,2023-02-06 22:35:00,2023-02-20 10:56:41.744198711,employee,Printing issues in office,Hardware,2 - High,Hardware
2023-02-15 12:51:03.775992662,Charlie Whitherspoon,Bud Richman,INC0000000004,Closed,Luke Wilson,2023-02-10 07:34:00,2023-02-15 12:51:03.775992662,system,Cannot connect to office VPN,Network,2 - High,Network
2023-02-19 13:21:38.235707463,Fred Luddy,Don Goodliffe,INC0000000005,Resolved,Charlie Whitherspoon,2023-02-16 04:26:00,2023-02-19 13:21:38.235707463,employee,Unable to connect to VPN server,Network,2 - High,Network
2023-02-20 21:11:00.000000000,Fred Luddy,Don Goodliffe,INC0000000006,Closed,Fred Luddy,2023-02-19 21:11:00,2023-02-20 21:11:00.000000000,system,Database server issue - high CPU usage,Database,2 - High,Database
2023-02-27 04:12:38.580257115,Beth Anglin,Don Goodliffe,INC0000000007,Resolved,Charlie Whitherspoon,2023-02-20 06:01:00,2023-02-27 04:12:38.580257115,system,Cannot connect to VPN,Network,2 - High,Network
2023-03-12 23:28:32.239897277,Luke Wilson,ITIL User,INC0000000008,Closed,Luke Wilson,2023-02-24 09:57:00,2023-03-12 23:28:32.239897277,employee,Cannot connect to company VPN,Network,2 - High,Network
2023-03-15 22:08:39.830785403,Luke Wilson,Don Goodliffe,INC0000000009,Resolved,Charlie Whitherspoon,2023-02-27 14:03:00,2023-03-15 22:08:39.830785403,system,Unable to access the company VPN,Network,2 - High,Network
2023-03-06 01:20:06.721830132,Fred Luddy,Don Goodliffe,INC0000000010,Resolved,Charlie Whitherspoon,2023-03-03 12:21:00,2023-03-06 01:20:06.721830132,employee,Email Service disconnected,Network,2 - High,Hardware
2023-03-07 06:21:36.934694835,Howard Johnson,ITIL User,INC0000000011,Closed,Luke Wilson,2023-03-04 07:22:00,2023-03-07 06:21:36.934694835,system,Email server not responding,Network,1 - Critical,Network
2023-03-13 21:45:28.607455731,Luke Wilson,Bud Richman,INC0000000012,Resolved,Fred Luddy,2023-03-10 10:04:00,2023-03-13 21:45:28.607455731,system,Unable to access VPN,Network,1 - Critical,Network
2023-03-30 08:42:14.241412358,Howard Johnson,Bud Richman,INC0000000013,Closed,Beth Anglin,2023-03-11 05:03:00,2023-03-30 08:42:14.241412358,admin,Email server is not responding,Network,1 - Critical,Hardware
2023-03-29 01:50:27.444360667,Luke Wilson,David Loo,INC0000000014,Closed,Beth Anglin,2023-03-11 23:28:00,2023-03-29 01:50:27.444360667,admin,Email server outage,Network,1 - Critical,Network
2023-03-13 23:28:00.000000000,Luke Wilson,Don Goodliffe,INC0000000015,Closed,Fred Luddy,2023-03-12 23:28:00,2023-03-13 23:28:00.000000000,employee,Software update required on server,Software,2 - High,Software
2023-04-02 17:38:03.865282896,Howard Johnson,Don Goodliffe,INC0000000016,Resolved,Howard Johnson,2023-03-14 18:31:00,2023-04-02 17:38:03.865282896,employee,Email server outage,Network,1 - Critical,Network
2023-03-23 23:16:04.082555005,Howard Johnson,Don Goodliffe,INC0000000017,Closed,Fred Luddy,2023-03-15 13:07:00,2023-03-23 23:16:04.082555005,employee,Cannot connect to WiFi,Network,2 - High,Network
2023-03-26 00:46:30.956737742,Beth Anglin,Don Goodliffe,INC0000000018,Closed,Howard Johnson,2023-03-17 08:30:00,2023-03-26 00:46:30.956737742,employee,Email server connectivity issues,Network,2 - High,Network
2023-03-29 07:58:48.270602736,Howard Johnson,Bud Richman,INC0000000019,Closed,Fred Luddy,2023-03-18 03:11:00,2023-03-29 07:58:48.270602736,employee,Outlook not responding,Software,2 - High,Software
2023-03-31 09:19:32.326290929,Beth Anglin,David Loo,INC0000000020,Resolved,Fred Luddy,2023-03-20 11:53:00,2023-03-31 09:19:32.326290929,admin,Unable to access email account,Service Desk,2 - High,Inquiry / Help
2023-03-22 01:07:00.000000000,Charlie Whitherspoon,David Loo,INC0000000021,Resolved,Luke Wilson,2023-03-21 01:07:00,2023-03-22 01:07:00.000000000,admin,Email server down,Network,1 - Critical,Network
2023-03-26 15:16:00.000000000,Luke Wilson,Don Goodliffe,INC0000000022,Closed,Fred Luddy,2023-03-25 15:16:00,2023-03-26 15:16:00.000000000,system,Connection issues with office wifi,Network,2 - High,Network
2023-03-31 15:03:00.000000000,Howard Johnson,Don Goodliffe,INC0000000023,Closed,Luke Wilson,2023-03-30 15:03:00,2023-03-31 15:03:00.000000000,system,Server connectivity issues,Network,2 - High,Network
2023-04-17 07:09:45.642502074,Fred Luddy,ITIL User,INC0000000024,Closed,Fred Luddy,2023-03-31 02:29:00,2023-04-17 07:09:45.642502074,system,Email function is not working properly,Service Desk,1 - Critical,Software
2023-04-08 13:47:54.598615965,Beth Anglin,Bud Richman,INC0000000025,Resolved,Luke Wilson,2023-04-02 09:40:00,2023-04-08 13:47:54.598615965,system,Cannot connect to VPN,Network,2 - High,Network
2023-04-15 10:34:06.273802334,Charlie Whitherspoon,Bud Richman,INC0000000026,Closed,Luke Wilson,2023-04-03 11:04:00,2023-04-15 10:34:06.273802334,admin,Unable to access company database,Database,2 - High,Database
2023-04-28 10:49:17.084241049,Fred Luddy,ITIL User,INC0000000027,Closed,Fred Luddy,2023-04-07 15:01:00,2023-04-28 10:49:17.084241049,system,Server connection issue,Network,2 - High,Network
2023-04-25 20:15:25.330892864,Howard Johnson,David Loo,INC0000000028,Closed,Fred Luddy,2023-04-08 13:43:00,2023-04-25 20:15:25.330892864,admin,Unable to access database,Database,2 - High,Database
2023-04-22 22:31:37.712335770,Luke Wilson,Bud Richman,INC0000000029,Resolved,Fred Luddy,2023-04-10 20:33:00,2023-04-22 22:31:37.712335770,admin,Email client is not syncing,Software,2 - High,Inquiry / Help
2023-04-14 17:21:00.000000000,Fred Luddy,David Loo,INC0000000030,Resolved,Fred Luddy,2023-04-13 17:21:00,2023-04-14 17:21:00.000000000,system,Server Outage,Network,1 - Critical,Network
2023-04-29 02:27:09.905714035,Luke Wilson,David Loo,INC0000000031,Resolved,Fred Luddy,2023-04-16 21:30:00,2023-04-29 02:27:09.905714035,system,Software fails to update,Software,2 - High,Software
2023-05-04 18:31:14.928124002,Beth Anglin,David Loo,INC0000000032,Closed,Fred Luddy,2023-04-17 18:23:00,2023-05-04 18:31:14.928124002,employee,Unable to connect to WiFi,Network,2 - High,Network
2023-04-19 19:27:00.000000000,Beth Anglin,ITIL User,INC0000000033,Resolved,Luke Wilson,2023-04-18 19:27:00,2023-04-19 19:27:00.000000000,admin,Cannot access network drive,Network,2 - High,Network
2023-05-01 00:13:55.958724539,Howard Johnson,Bud Richman,INC0000000034,Resolved,Charlie Whitherspoon,2023-04-20 05:14:00,2023-05-01 00:13:55.958724539,admin,Email client not syncing,Service Desk,2 - High,Software
2023-05-16 13:10:05.301953843,Fred Luddy,Bud Richman,INC0000000035,Closed,Luke Wilson,2023-04-21 21:33:00,2023-05-16 13:10:05.301953843,admin,Unable to connect to database,Database,2 - High,Database
2023-04-24 01:19:00.000000000,Luke Wilson,Don Goodliffe,INC0000000036,Closed,Charlie Whitherspoon,2023-04-23 01:19:00,2023-04-24 01:19:00.000000000,employee,Database connectivity issue,Database,2 - High,Database
2023-04-27 17:37:52.774557242,Charlie Whitherspoon,David Loo,INC0000000037,Resolved,Charlie Whitherspoon,2023-04-25 08:04:00,2023-04-27 17:37:52.774557242,admin,Unable to access database,Database,1 - Critical,Database
