sys_updated_by,assigned_to,sys_updated_on,caller_id,opened_at,category,number,state,closed_at,closed_by,short_description,assignment_group,priority
system,Fred Luddy,2023-01-12 17:55:58.101087193,Don Goodliffe,2023-01-02 17:51:00,Network,INC0000000000,Closed,2023-01-12 17:55:58.101087193,Charlie Whitherspoon,Email system outage reported by multiple users,Service Desk,2 - High
admin,Luke Wilson,2023-01-11 02:02:27.314576914,David Loo,2023-01-04 01:31:00,Network,INC0000000001,Resolved,2023-01-11 02:02:27.314576914,Fred Luddy,Email system down for multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-01-05 21:59:00.000000000,ITIL User,2023-01-04 21:59:00,Network,INC0000000002,Resolved,2023-01-05 21:59:00.000000000,Charlie Whitherspoon,Email system downtime affecting entire office,Service Desk,1 - Critical
employee,Howard Johnson,2023-01-06 03:18:00.000000000,Don Goodliffe,2023-01-05 03:18:00,Network,INC0000000003,Closed,2023-01-06 03:18:00.000000000,Fred Luddy,Email system outage impacting multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-01-07 03:21:18.000194787,Don Goodliffe,2023-01-05 12:10:00,Database,INC0000000004,Closed,2023-01-07 03:21:18.000194787,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
admin,Luke Wilson,2023-01-07 15:15:00.000000000,ITIL User,2023-01-06 15:15:00,Hardware,INC0000000005,Resolved,2023-01-07 15:15:00.000000000,Beth Anglin,Email system outage affecting entire floor,Service Desk,1 - Critical
admin,Charlie Whitherspoon,2023-01-12 15:43:43.264212363,David Loo,2023-01-08 02:02:00,Database,INC0000000006,Resolved,2023-01-12 15:43:43.264212363,Beth Anglin,Email server is down,Network,1 - Critical
system,Howard Johnson,2023-01-17 21:43:25.241424487,Bud Richman,2023-01-08 03:34:00,Database,INC0000000007,Resolved,2023-01-17 21:43:25.241424487,Howard Johnson,Email system downtime impacting communication,Service Desk,2 - High
system,Luke Wilson,2023-01-21 19:17:43.325002286,Bud Richman,2023-01-09 10:06:00,Network,INC0000000008,Resolved,2023-01-21 19:17:43.325002286,Luke Wilson,Email system downtime reported,Service Desk,1 - Critical
employee,Beth Anglin,2023-01-13 09:47:43.350419922,ITIL User,2023-01-10 22:34:00,Hardware,INC0000000009,Closed,2023-01-13 09:47:43.350419922,Fred Luddy,Email system outage reported,Service Desk,1 - Critical
admin,Beth Anglin,2023-01-25 13:16:39.141268560,David Loo,2023-01-11 17:30:00,Inquiry / Help,INC0000000010,Resolved,2023-01-25 13:16:39.141268560,Fred Luddy,Email server response is slow,Network,2 - High
employee,Beth Anglin,2023-01-24 04:08:07.609188165,Bud Richman,2023-01-12 14:23:00,Network,INC0000000011,Resolved,2023-01-24 04:08:07.609188165,Fred Luddy,Email system downtime,Service Desk,2 - High
system,Beth Anglin,2023-01-17 05:15:36.192588935,Don Goodliffe,2023-01-13 01:19:00,Hardware,INC0000000012,Closed,2023-01-17 05:15:36.192588935,Fred Luddy,Email system outage reported by multiple users,Service Desk,1 - Critical
system,Fred Luddy,2023-01-20 20:13:03.082909816,ITIL User,2023-01-13 04:22:00,Hardware,INC0000000013,Resolved,2023-01-20 20:13:03.082909816,Fred Luddy,Email system outage reported by multiple users,Service Desk,2 - High
system,Luke Wilson,2023-01-21 20:38:15.492258219,Bud Richman,2023-01-13 05:38:00,Database,INC0000000014,Closed,2023-01-21 20:38:15.492258219,Luke Wilson,Email server outage affecting entire department,Network,1 - Critical
employee,Luke Wilson,2023-01-21 03:31:33.072246441,Bud Richman,2023-01-14 22:43:00,Inquiry / Help,INC0000000015,Closed,2023-01-21 03:31:33.072246441,Charlie Whitherspoon,Email system lagging significantly,Service Desk,2 - High
system,Beth Anglin,2023-01-18 22:56:46.767605072,Bud Richman,2023-01-15 09:41:00,Network,INC0000000016,Resolved,2023-01-18 22:56:46.767605072,Charlie Whitherspoon,Email system downtime affecting multiple users,Service Desk,2 - High
system,Luke Wilson,2023-02-01 02:44:56.090018008,Don Goodliffe,2023-01-15 14:44:00,Software,INC0000000017,Resolved,2023-02-01 02:44:56.090018008,Beth Anglin,Email system latency impacting operations,Service Desk,2 - High
system,Howard Johnson,2023-01-17 09:34:00.000000000,ITIL User,2023-01-16 09:34:00,Network,INC0000000018,Closed,2023-01-17 09:34:00.000000000,Fred Luddy,Email system timeout errors impacting workflow,Service Desk,2 - High
admin,Beth Anglin,2023-01-23 17:29:37.447458008,Don Goodliffe,2023-01-17 10:00:00,Inquiry / Help,INC0000000019,Resolved,2023-01-23 17:29:37.447458008,Howard Johnson,Email service disruption reported by multiple users,Service Desk,1 - Critical
employee,Luke Wilson,2023-01-22 15:43:07.208547340,Bud Richman,2023-01-17 11:09:00,Inquiry / Help,INC0000000020,Closed,2023-01-22 15:43:07.208547340,Beth Anglin,Email system downtime impacting teams,Service Desk,2 - High
employee,Luke Wilson,2023-01-18 11:30:00.000000000,Don Goodliffe,2023-01-17 11:30:00,Software,INC0000000021,Closed,2023-01-18 11:30:00.000000000,Charlie Whitherspoon,Email system outages reported by multiple users,Service Desk,2 - High
employee,Charlie Whitherspoon,2023-02-01 09:44:56.889880088,David Loo,2023-01-18 10:06:00,Hardware,INC0000000022,Resolved,2023-02-01 09:44:56.889880088,Charlie Whitherspoon,Email service disruption,Service Desk,1 - Critical
employee,Charlie Whitherspoon,2023-01-21 15:10:26.519857112,Bud Richman,2023-01-20 10:01:00,Database,INC0000000023,Closed,2023-01-21 15:10:26.519857112,Beth Anglin,Email system down for multiple users,Service Desk,1 - Critical
admin,Beth Anglin,2023-02-11 21:40:56.125490986,Don Goodliffe,2023-01-27 10:12:00,Software,INC0000000024,Resolved,2023-02-11 21:40:56.125490986,Fred Luddy,Email service disruption reported by multiple users,Service Desk,2 - High
