goal_id,state,owner,department,start_date,end_date,description,priority,percent_complete,target_percentage,category,goal_met
41772e63-c84a-43f7-9a30-a68e8126477b,Closed,Theresa Fox,Finance,2024-03-02,2024-04-07,This goal involves collaborate efforts across multiple departments.,High,59.53,87.84,Employee Satisfaction,False
6719d4f0-2cfa-43e5-927d-70100ea17280,Open,Angela Smith,Finance,2024-01-26,2024-04-20,Any herself fall soldier discover series community.,Medium,57.98,74.03,Cost Reduction,False
0f1a0acf-2cb1-4610-967d-912e026cd74d,In Progress,Marilyn Reed,Operations,2023-12-20,2024-03-30,Animal pattern hand do eight decade.,Critical,52.61,76.81,Employee Satisfaction,False
91956692-5a19-435e-98ad-4840664c7f57,In Progress,Stephen Brown,Finance,2024-02-21,2024-04-14,Born shoulder prevent book.,High,78.85,60.87,Cost Reduction,True
4d2813f5-40ae-43d1-ac14-67ad8e731cb6,Open,Donald Gallegos,IT,2023-11-02,2023-12-22,Claim not quite painting.,Low,65.18,81.55,Customer Satisfaction,False
6e313113-a5fb-4f57-9d04-7251183747c1,Open,Sheri Bullock,HR,2024-10-28,2025-02-09,Dream cost drive defense.,Low,96.53,79.07,Revenue Growth,True
7f21ab8c-e7f6-461a-8759-46256f859de8,Open,Michael Hatfield,Marketing,2024-01-19,2024-05-18,That film attack property center.,High,52.94,72.18,Cost Reduction,False
e733bbda-beb9-4da5-b8ea-6b14f3f8c975,Closed,Trevor Reed,HR,2024-07-05,2024-09-14,Three eight affect soon evidence strong true.,High,53.05,64.39,Cost Reduction,False
5bd84914-6201-4852-b821-d1911943761c,Open,Nicholas Decker,HR,2024-05-10,2024-06-17,This goal involves partnership efforts across multiple departments.,High,67.66,76.29,Employee Satisfaction,False
7f07c783-013d-43d2-bb79-e40983ad4d8b,Closed,Christian Richardson,IT,2024-05-04,2024-07-09,Them question wind process.,High,97.11,71.69,Cost Reduction,True
577d0595-18bc-4697-b82e-19aad18e947e,In Progress,Mrs. Christina Russell,Marketing,2024-07-31,2024-10-25,Reduce fight car responsibility identify get movie.,Critical,54.16,87.22,Revenue Growth,False
6998fc97-d0dd-42d5-8b2d-18b1c914420f,Open,William Johnson,IT,2024-08-20,2024-10-05,Agree early wind.,Medium,98.33,71.06,Cost Reduction,True
a5d382a4-b0c7-442d-8442-8d950e4eac5a,Closed,Christopher Castaneda,Finance,2023-11-28,2024-05-13,Before become science blue security citizen.,Medium,73.25,73.16,Employee Satisfaction,True
78a88a57-9829-483d-a41a-592aaffb91bd,Closed,Jonathan Simmons,Marketing,2024-07-01,2024-12-06,This goal involves integration efforts across multiple departments.,Medium,60.88,80.15,Employee Satisfaction,False
21861857-c551-493e-a87e-9bdef24ff5e2,Open,Susan Sims,Operations,2024-04-20,2024-10-02,Why quality cover find again care democratic day.,Medium,99.67,77.26,Revenue Growth,True
97ff78c2-763a-49b8-a62c-b04ca7b20c24,In Progress,Julie Johnson,HR,2024-05-29,2024-07-12,This goal involves cross-departmental efforts across multiple departments.,Medium,68.71,79.56,Cost Reduction,False
534da828-be93-4d5f-8412-13521b3830ae,Closed,Micheal Dunn,IT,2024-04-27,2024-10-14,Support determine son.,Medium,67.81,78.58,Cost Reduction,False
704b002c-13d3-4dd3-83c3-5c8baca67de1,Closed,Calvin Erickson,HR,2024-03-30,2024-07-17,Office other defense bill skill against.,Medium,53.48,69.03,Cost Reduction,False
eafe03c9-ce89-4a1b-8255-1514d6b71b86,Open,Jeffrey Ross,Marketing,2024-01-25,2024-02-29,This goal involves collaborate efforts across multiple departments.,High,55.91,71.18,Customer Satisfaction,False
