goal_id,state,owner,department,start_date,end_date,description,priority,percent_complete,target_percentage,category,quarter,goal_met
254c6dd4-ab7b-44d1-989b-14087c68272a,Closed,Mary Smith,IT,2024-04-04,2024-05-10,This is a medium priority task involving collaborate efforts between departments.,Medium,82.17535311082577,97.8435913540969,Revenue Growth,2,False
c7d47599-8675-4237-9237-1397337bbc40,Open,Michael Mitchell,HR,2024-02-17,2024-07-04,This is a critical priority task involving partnership efforts between departments.,Critical,75.22757633143988,91.22490125877226,Cost Reduction,1,False
60fa305d-aa6b-4ac9-9fda-511dd2919e8c,Closed,Teresa Martin,HR,2024-04-13,2024-08-28,This is a high priority task involving collaborate efforts between departments.,High,99.93797956343869,83.1931863275378,Innovation,2,True
c4b3c47d-4e4f-4404-a255-44eaeb3ce610,In Progress,Xavier Caldwell,Marketing,2024-01-01,2024-04-11,This is a critical priority task involving cross-departmental efforts between departments.,Critical,57.13975869910516,96.9498873269492,Process Improvement,1,False
5acd0481-146f-4d92-a971-4881d30ecb12,Closed,James Cannon,Marketing,2024-01-17,2024-02-27,This is a medium priority task involving cross-departmental efforts between departments.,Medium,65.63876820150078,85.86356562814186,Innovation,1,False
86dcefa4-aaaa-42d9-9a59-327be7a7914c,Closed,Tracie Moran,HR,2024-04-24,2024-08-24,This is a medium priority task involving joint efforts between departments.,Medium,90.77032600484108,99.70443041321516,Cost Reduction,2,False
07b5f867-91ce-424e-aad2-bf4487b1d7f1,Open,Nina Huffman,IT,2024-01-13,2024-05-19,This is a high priority task involving integration efforts between departments.,High,73.72146708681993,85.33955644098226,Process Improvement,1,False
861b5817-6cdc-412d-ae46-fde50d112203,Closed,Heather Torres,IT,2024-03-11,2024-05-23,This is a medium priority task involving cross-departmental efforts between departments.,Medium,71.28219847493737,98.50782359242436,Revenue Growth,1,False
cfa8aa88-a381-4089-9e69-b76becb4f853,Closed,Vickie Hernandez,HR,2024-09-01,2024-11-26,This is a medium priority task involving collaborate efforts between departments.,Medium,89.62476812119735,88.02329574044657,Cost Reduction,3,True
386015d6-c552-4a08-9ac2-65d8d013599b,Open,Jasmine George DDS,Sales,2024-01-04,2024-06-27,This is a low priority task involving cross-departmental efforts between departments.,Low,75.3254602831942,98.29095179481087,Process Improvement,1,False
bdc96277-1b81-40d2-bd4c-34f8955a21fa,In Progress,Amber Singleton,Sales,2024-02-19,2024-05-26,Type account improve way who how.,Critical,58.75324818445127,72.8530148188374,Innovation,1,False
06d89397-cfe7-47d0-9dff-002db7e07307,Closed,Tiffany Stephens,Finance,2024-02-06,2024-06-07,Recent boy source apply road.,High,43.64760405707969,61.413491262742035,Revenue Growth,1,False
406c7411-383e-4dac-af5e-7486f4f7cc16,Open,Sara Walton,Sales,2024-10-14,2024-12-23,Perform investment better.,Medium,59.637362553801395,77.87665285083384,Customer Satisfaction,4,False
82684a18-d1d8-4cbd-8c7e-b07138fcbf3c,In Progress,Elizabeth Delgado,HR,2024-09-19,2024-12-22,Responsibility but hope third cause break heavy dream.,Low,27.433478105593295,86.54365350387327,Cost Reduction,3,False
048a8c0f-8e99-4ac5-a0bc-da43e12aab0a,In Progress,Andrew Barber,Marketing,2023-12-24,2024-02-20,Method lot human one end firm free.,High,89.76449865347459,86.27558821134582,Revenue Growth,4,True
0e3f5067-e747-4edc-aaf1-f580ae2203d0,In Progress,Hunter Willis,HR,2024-08-01,2024-10-15,Mrs reveal have million decade hit.,Medium,40.927390782951065,79.16848484598016,Cost Reduction,3,False
c4dfed3e-40a4-4523-9865-4a319ed9a27d,Closed,Brian Hall,Sales,2024-07-15,2024-09-22,Wait church however.,High,75.40204720007226,75.91061016585533,Revenue Growth,3,False
b6a83657-f089-4256-8c52-7418cb2e56e2,Open,John Ramirez,HR,2024-10-19,2025-02-08,Condition across this image it yourself old.,Medium,81.26600386105035,84.94996588083538,Cost Reduction,4,False
002b4942-8748-4cc2-827b-ec33113ac6df,In Progress,Deborah Harrison,Sales,2024-06-12,2024-07-26,Possible sort system best reduce show include responsibility.,High,41.23692011414205,74.57971389949842,Innovation,2,False
a63ae200-936f-4119-8221-13d6a611e66e,Open,Thomas Cox,HR,2024-10-03,2024-12-04,Open wrong reality common garden television former.,Critical,36.01557258632501,75.83021362254762,Customer Satisfaction,4,False
6f9294b9-d703-45b2-910e-ec5daa51c7e7,Closed,Brian Molina,Finance,2024-05-31,2024-08-23,Light his upon.,Low,47.585505469661754,80.15060878914849,Revenue Growth,2,False
283ee453-6e97-48fe-8377-b8359b2d1280,In Progress,Stanley Heath,Finance,2024-07-15,2024-12-24,This is a medium priority task involving integration efforts between departments.,Medium,62.61520181793624,91.0784304484896,Revenue Growth,3,False
027959e0-bf62-48b1-82e6-ac6c4b40c6dd,Closed,James Blackburn,Sales,2024-05-19,2024-06-19,This is a critical priority task involving collaborate efforts between departments.,Critical,85.92038078325778,81.41714699777307,Cost Reduction,2,True
8be86a49-e9dc-4ce2-be8f-70c1357e307b,Open,Mary Jackson,Marketing,2024-07-16,2024-12-17,Per seek building activity church our.,High,80.90958870531512,77.28634949162699,Revenue Growth,3,True
358c5e2e-a002-4ed4-b1a6-897d0414b8d2,Open,Steven Herrera,Finance,2023-11-13,2024-03-26,Toward green pretty produce.,High,60.78161213502188,72.33306828149215,Cost Reduction,4,False
cb9b35a6-5a12-411c-a5d1-5394eb6e6062,Closed,Tiffany Rodriguez,IT,2024-02-05,2024-03-31,Listen herself player together picture painting.,Critical,25.80790006637345,65.74770216424962,Process Improvement,1,False
57f3ed46-2c3b-47f9-b10b-083bf7f29291,Closed,Betty Le,Finance,2024-06-05,2024-08-09,Wall stay throughout consider hot.,Medium,75.47473901127479,62.261546651228684,Process Improvement,2,True
c8e5cc8d-0612-4996-aec9-36a73d5e33ca,Closed,Jenna Lee,IT,2024-07-09,2024-08-20,Situation language build interest.,Medium,75.61147785994203,87.79100949024382,Innovation,3,False
7d63e19e-946f-46d4-822a-4cd5af93d664,Open,Mr. Jeffrey Lewis MD,Sales,2024-09-16,2025-01-28,Hold pay pressure along help.,Medium,77.08956691182651,64.93911364204581,Revenue Growth,3,True
85815d18-8a02-4f6a-ac91-345e03426730,Open,Brenda Neal,Finance,2024-08-16,2024-11-21,This is a low priority task involving partnership efforts between departments.,Low,84.83986388954696,89.73342823308658,Customer Satisfaction,3,False
