number,opened_at,state,amount,short_description,department,location,processing_time,processed_date,user
af216d15-51d4-4ab1-8f7c-04cd36cb7940,2024-03-12 13:46:11,Declined,5050.344253799079,Share later act born just. Oracle,Product Management,Africa,0.0,,Jessica Anderson
35db28f3-ef48-479b-8df9-682d22a8a3d3,2024-02-06 00:15:06,Processed,4100.35187705158,Standard nothing gas mean manage question sure. Automated,Sales,Europe,10.0,2024-02-16 00:15:06,Christopher Garcia
f82c3d72-08d6-431c-841c-daafad220927,2024-02-16 12:52:34,Submitted,5939.789269680775,Nearly official bag set. Travel,IT,South America,0.0,,Angela Rodriguez
e72048a6-67a5-4875-a5a8-9a5cab535308,2024-04-10 19:17:41,Pending,10846.34847559068,Account white kid civil. Cloud,Sales,Africa,0.0,,Robert Taylor
fb6b2d5f-2080-42c0-a7c1-a8f735c4f876,2024-04-13 08:56:44,Submitted,3900.3606699880675,Anything really walk direction father. Server,Development,North America,0.0,,Barbara Martinez
96196027-1248-4895-ad44-9806b61eeedf,2024-03-01 19:01:18,Declined,4585.129918688331,Try against plan street house.,Development,Europe,0.0,,Richard Thomas
6e34b43b-d20c-4c26-8ec3-b20950266df7,2024-09-24 12:24:00,Declined,1467.7189586932288,Mention a Congress blood direction.,Customer Support,Europe,0.0,,Steven Clark
3a6aa9fd-99e8-46d0-9f39-a2b77e80f581,2024-04-07 21:41:34,Declined,6715.725746690005,Mrs drug glass civil mission chance tree. Automated,HR,South America,0.0,,Richard Thomas
91dd392e-9731-4f38-b285-fe10cf781996,2024-04-05 20:50:10,Pending,5687.676378957943,Agent wind alone forget among seat run.,IT,Europe,0.0,,Michael Johnson
761beade-7efa-4ce8-bd8b-9ec6a00e6eeb,2024-05-23 22:29:26,Processed,7497.623544721402,News history and outside continue accept. Travel,Product Management,Europe,5.0,2024-05-28 22:29:26,William Brown
f975c2a2-4950-4fff-994f-5f7e52b4d552,2024-01-21 12:03:56,Declined,2423.372056964802,Career huge season sometimes kid true detail.,Customer Support,Asia,0.0,,Karen Jackson
47504a62-6e2f-49de-9457-095844c8bf89,2024-10-20 04:30:24,Declined,7895.281660073372,Investment material actually early explain nation still.,IT,South America,0.0,,William Brown
b660daec-6cd0-405f-8009-4de1f3ed534c,2024-01-19 06:31:41,Processed,2520.6174833999553,Federal popular current build agree stand spring nothing. Travel,Finance,South America,9.0,2024-01-28 06:31:41,Jane Doe
d68fb372-8be8-4293-9131-a2a1e2b65b41,2024-04-01 08:51:48,Declined,8873.8716607734,Discover reason certainly people speak science employee.,Development,North America,0.0,,Jessica Anderson
e4b224ae-73c8-489c-a86f-a8c7dcf4f445,2024-04-11 07:03:21,Processed,5880.852610089328,Letter but them weight.,IT,Africa,9.0,2024-04-20 07:03:21,Robert Taylor
6d73df13-bf03-4079-9585-f71e6fa814c9,2024-08-02 03:47:49,Submitted,7715.585966856624,Authority surface see total late important. Oracle,IT,Europe,0.0,,Robert Taylor
e564788a-86d5-44bb-b059-60fbf79cf232,2024-03-22 17:41:29,Declined,11573.280939217695,Use school long part sense instead feel plan. Travel,Product Management,South America,0.0,,Christopher Garcia
dd44eca9-3bbd-49ed-b6a8-5b7b949712ca,2024-07-11 02:37:10,Pending,1558.045122538465,Interest military can international child.,Sales,South America,0.0,,William Brown
78843425-6431-4bd5-8336-8d28372e8a86,2024-05-13 14:53:16,Pending,6769.792448761233,Move difficult perhaps well again.,Sales,Africa,0.0,,Christopher Garcia
de1c3c11-181d-4ea7-a491-5370707cac95,2024-09-20 10:38:51,Processed,3342.563498298482,Tonight deal reach daughter too.,HR,Asia,6.0,2024-09-26 10:38:51,David Wilson
03dc3b06-ea96-44ef-a246-1e490454f228,2024-08-09 14:03:37,Processed,8172.569356083691,Everything base decision degree.,HR,South America,1.0,2024-08-10 14:03:37,Patricia Thompson
63353367-09c8-47e6-a85c-51bff784e8c6,2024-06-05 00:27:17,Processed,2010.5004982705998,Down Mrs history everybody story maybe. Travel,IT,Europe,14.0,2024-06-19 00:27:17,Barbara Martinez
41b09854-83da-48c9-93cb-3ab9396dd778,2024-05-29 14:51:17,Submitted,3024.7882242923915,Whose move power grow. Automated,IT,Europe,0.0,,Charles Martin
