category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,priority,assignement_group,amount,processed_time,department
Miscellaneous,Closed,2023-07-25 03:32:18.462401146,2023-01-02 11:04:00,Fred Luddy,INC0000000034,admin,Europe,Fred Luddy,ITIL User,2023-07-06 03:31:13.838619495,There was an issue,2 - High,Database,55216,77,Finance
Travel,Closed,2023-03-11 13:42:59.511508874,2023-01-03 10:19:00,Charlie Whitherspoon,INC0000000025,admin,North America,Beth Anglin,Don Goodliffe,2023-05-19 04:22:50.443252112,There was an issue,1 - Critical,Hardware,40344,0,IT
Travel,Resolved,2023-01-20 14:37:18.361510788,2023-01-04 06:37:00,Charlie Whitherspoon,INC0000000354,system,South America,Fred Luddy,ITIL User,2023-02-13 08:10:20.378839709,There was an issue,2 - High,Database,48222,80,Sales
Travel,Resolved,2023-01-25 20:46:13.679914432,2023-01-04 06:53:00,Fred Luddy,INC0000000023,admin,Europe,Luke Wilson,Don Goodliffe,2023-06-14 11:45:24.784548040,There was an issue,2 - High,Hardware,49194,92,Finance
Assets,Processed,2023-05-10 22:35:58.881919516,2023-01-05 16:52:00,Luke Wilson,INC0000000459,employee,Europe,Charlie Whitherspoon,David Loo,2023-06-11 20:25:35.094482408,There was an issue,2 - High,Hardware,44847,76,Finance
Services,Resolved,2023-12-27 23:15:06.590296403,2023-01-06 01:22:00,Beth Anglin,INC0000000157,system,North America,Beth Anglin,Bud Richman,2023-01-25 20:46:13.679914432,There was an issue,1 - Critical,Inquiry / Help,65880,74,Sales
Services,Resolved,2023-01-12 00:34:00.000000000,2023-01-06 06:14:00,Beth Anglin,INC0000000389,system,Asia,Luke Wilson,David Loo,2023-09-28 01:25:23.074702845,There was an issue,2 - High,Software,18015,35,HR
Travel,Processed,2023-05-31 03:23:19.484544434,2023-01-06 15:27:00,Luke Wilson,INC0000000152,admin,Asia,Fred Luddy,Don Goodliffe,2023-07-15 22:29:05.785588895,There was an issue,4 - Low,Hardware,28890,52,Customer Support
Travel,Closed,2023-09-13 04:40:34.280556892,2023-01-07 15:20:00,Fred Luddy,INC0000000018,system,North America,Luke Wilson,David Loo,2023-12-28 23:19:22.500984917,There was an issue,4 - Low,Hardware,96340,70,Product Management
Assets,Resolved,2024-01-26 14:08:14.089327678,2023-01-08 08:53:00,Beth Anglin,INC0000000134,employee,Europe,Beth Anglin,Bud Richman,2023-07-09 14:14:29.904659016,There was an issue,4 - Low,Hardware,78475,86,Product Management
Services,Processed,2023-12-28 23:19:22.500984917,2023-01-09 09:58:00,Howard Johnson,INC0000000057,system,Africa,Beth Anglin,Don Goodliffe,2023-12-14 20:37:19.388113353,There was an issue,2 - High,Network,16310,73,Sales
Assets,Processed,2023-08-05 08:06:09.262346306,2023-01-09 16:07:00,Charlie Whitherspoon,INC0000000434,system,Africa,Beth Anglin,David Loo,2023-02-26 16:29:16.807931635,There was an issue,1 - Critical,Inquiry / Help,28547,49,Customer Support
Miscellaneous,Resolved,2023-02-08 15:38:00.000000000,2023-01-10 10:06:00,Fred Luddy,INC0000000271,employee,South America,Fred Luddy,Don Goodliffe,2023-12-10 05:44:39.457781801,There was an issue,4 - Low,Network,31494,29,Development
Services,Resolved,2023-12-06 22:33:01.700205220,2023-01-11 00:34:00,Charlie Whitherspoon,INC0000000411,admin,Africa,Howard Johnson,David Loo,2024-02-01 06:07:10.554650244,There was an issue,2 - High,Network,18300,83,Development
Travel,Resolved,2023-05-06 08:53:56.696181202,2023-01-11 09:26:00,Luke Wilson,INC0000000490,admin,South America,Howard Johnson,ITIL User,2024-01-04 10:16:12.278901784,There was an issue,2 - High,Network,28771,0,IT
Miscellaneous,Resolved,2023-09-28 01:25:23.074702845,2023-01-11 16:40:00,Howard Johnson,INC0000000233,employee,Asia,Fred Luddy,Bud Richman,2023-10-03 08:53:36.796709606,There was an issue,3 - Moderate,Software,18141,20,HR
Assets,Processed,2023-12-05 17:32:49.113615094,2023-01-11 18:29:00,Howard Johnson,INC0000000453,admin,Europe,Fred Luddy,Bud Richman,2023-05-05 01:59:48.858836394,There was an issue,3 - Moderate,Hardware,63111,13,Product Management
Services,Resolved,2024-01-19 04:34:40.251168087,2023-01-13 00:44:00,Fred Luddy,INC0000000047,employee,Africa,Beth Anglin,ITIL User,2023-07-09 20:00:30.308403141,There was an issue,1 - Critical,Hardware,18602,39,Finance
Services,Processed,2023-04-13 09:52:00.000000000,2023-01-15 14:01:00,Charlie Whitherspoon,INC0000000210,admin,South America,Fred Luddy,ITIL User,2023-02-04 02:43:53.446979933,There was an issue,1 - Critical,Software,34468,41,HR
Services,Resolved,2023-02-03 19:29:33.426983106,2023-01-16 04:28:00,Charlie Whitherspoon,INC0000000392,admin,Asia,Howard Johnson,Bud Richman,2023-04-26 13:43:55.256743773,There was an issue,3 - Moderate,Database,14616,43,HR
Travel,Processed,2023-01-26 12:30:48.397896971,2023-01-16 06:28:00,Beth Anglin,INC0000000005,system,North America,Beth Anglin,Don Goodliffe,2023-08-04 18:56:00.000000000,There was an issue,4 - Low,Software,57782,0,IT
Services,Processed,2023-10-18 13:41:25.546404143,2023-01-17 06:29:00,Fred Luddy,INC0000000088,system,Asia,Luke Wilson,David Loo,2023-03-13 16:49:10.116400647,There was an issue,1 - Critical,Hardware,29453,10,Customer Support
Travel,Processed,2023-05-13 13:14:46.388208661,2023-01-17 12:15:00,Beth Anglin,INC0000000100,admin,Europe,Charlie Whitherspoon,David Loo,2023-04-04 19:04:22.181856865,There was an issue,3 - Moderate,Network,75491,74,Customer Support
Assets,Closed,2023-02-14 04:41:35.236486606,2023-01-17 13:34:00,Beth Anglin,INC0000000237,system,Africa,Charlie Whitherspoon,ITIL User,2023-10-08 04:30:10.854895991,There was an issue,1 - Critical,Software,18774,0,IT
Travel,Resolved,2023-12-07 16:11:16.045197690,2023-01-17 17:47:00,Beth Anglin,INC0000000091,system,North America,Luke Wilson,David Loo,2023-09-18 08:09:07.717459166,There was an issue,3 - Moderate,Inquiry / Help,48069,9,HR
