assigned_to,purchased_on,cost,serial_number,sys_updated_on,warranty_expiration,model_category,department,asset_tag,display_name,ci
Valeria Lingbeek,2023-09-16 09:47:00,2688,FUM-85495157,2023-10-25 09:47:00,2026-04-16 09:47:00,Computer,Sales,P1000000,Dell Inspiron Desktop Computer,Inspiron Desktop
Kurtis Asberry,2024-03-26 15:43:00,2596,QFX-47362028,2024-04-11 15:43:00,2026-09-10 15:43:00,Computer,Sales,P1000001,Dell Inspiron 15,Inspiron 15
Darrel Tork,2024-03-09 10:16:00,4786,SKI-78647990,2024-04-23 10:16:00,2029-07-25 10:16:00,Computer,Customer Support,P1000002,Dell Inspiron 5558 Computer,Inspiron 5558
Dorthy Alexy,2024-01-31 09:21:00,1631,EMF-32833485,2024-02-12 09:21:00,2025-04-03 09:21:00,Computer,Development,P1000003,Dell Inspiron 15 3000 Computer,Inspiron 15 3000
Vince Ettel,2023-07-14 09:56:00,2834,XUQ-81198965,2023-09-04 09:56:00,2026-04-23 09:56:00,Computer,Customer Support,P1000004,Dell Inspiron 7000 Computer,Inspiron 7000
Jess Assad,2023-10-05 15:50:00,3433,XHC-15689724,2023-11-27 15:50:00,2027-05-02 15:50:00,Computer,Customer Support,P1000005,Dell Inspiron Desktop Computer,Inspiron Desktop
Sam Sorokin,2023-07-24 07:04:00,4877,WBR-26869320,2023-08-17 07:04:00,2029-01-21 07:04:00,Computer,IT,P1000006,Dell Inspiron 14 Computer,Inspiron 14
Fabian Mcshaw,2023-07-20 01:17:00,4427,ZTH-46507672,2023-07-29 01:17:00,2028-06-12 01:17:00,Computer,Sales,P1000007,Dell Inspiron 5000 Computer,Inspiron 5000
Rita Center,2023-10-07 01:41:00,4154,SKV-73261744,2023-10-19 01:41:00,2028-04-19 01:41:00,Computer,Customer Support,P1000008,Dell Inspiron 15 Computer,Inspiron 15
Valerie Pou,2023-09-03 04:42:00,1792,OHN-23233501,2023-09-23 04:42:00,2025-01-22 04:42:00,Computer,Customer Support,P1000009,Dell Inspiron Gaming Desktop,Inspiron Gaming Desktop
Shanna Numkena,2024-02-10 17:04:00,2173,YJS-84064125,2024-03-24 17:04:00,2026-01-02 17:04:00,Computer,Customer Support,P1000010,Dell OptiPlex 780 Desktop Computer,OptiPlex 780
Kathie Argenti,2023-06-08 19:12:00,4863,FLB-12021262,2023-08-03 19:12:00,2028-11-29 19:12:00,Computer,Customer Support,P1000011,Dell XPS 13 Computer,XPS 13
Dollie Daquino,2023-06-08 00:06:00,5000,MOG-57974075,2023-07-01 00:06:00,2029-02-04 00:06:00,Computer,Customer Support,P1000012,Dell Latitude 7490 Computer,Latitude 7490
Colin Altonen,2024-01-04 21:09:00,4762,JWC-64180041,2024-02-24 21:09:00,2029-05-09 21:09:00,Computer,Development,P1000013,Dell Inspiron 14,Inspiron 14
Garfield Lijewski,2024-01-15 01:19:00,2534,OIO-23695629,2024-03-11 01:19:00,2026-06-01 01:19:00,Computer,IT,P1000014,Dell Inspiron 5000 Series Laptop Computer,Inspiron 5000 Series
Lee Javens,2023-06-03 03:05:00,2498,LDH-49941475,2023-07-29 03:05:00,2025-09-30 03:05:00,Computer,Sales,P1000015,Dell Inspiron Desktop Computer,Inspiron Desktop
Zackary Mockus,2023-08-23 18:04:00,4264,NUY-76066821,2023-10-12 18:04:00,2028-04-28 18:04:00,Computer,Customer Support,P1000016,Dell Inspiron 7480,Inspiron 7480
Martin Carley,2023-12-06 10:23:00,3279,SQI-49133722,2023-12-13 10:23:00,2027-04-19 10:23:00,Computer,Sales,P1000017,Dell Inspiron 3593 Computer,Inspiron 3593
Felipe Mahone,2024-02-19 01:10:00,3677,RUS-77403204,2024-03-28 01:10:00,2028-01-13 01:10:00,Computer,Customer Support,P1000018,Dell Latitude 7400,Latitude 7400
Lizzie Torregrossa,2023-12-26 02:15:00,2188,YSL-50193591,2023-12-28 02:15:00,2025-11-24 02:15:00,Computer,IT,P1000019,Dell Inspiron 5559 Laptop,Inspiron 5559
Paul Shafer,2024-03-03 16:42:00,4637,ICZ-70102271,2024-04-26 16:42:00,2029-05-07 16:42:00,Computer,Sales,P1000020,Dell Optiplex 740 Desktop Computer,Optiplex 740
Mamie Mcintee,2023-11-18 18:44:00,3624,OUN-35868630,2023-11-30 18:44:00,2027-09-16 18:44:00,Computer,Product Management,P1000021,Dell Inspiron 7501 Laptop,Inspiron 7501
Chuck Farley,2023-12-21 20:21:00,1842,EEB-32623820,2024-01-14 20:21:00,2025-06-04 20:21:00,Computer,Sales,P1000022,Dell Inspiron 15 Computer,Inspiron 15
