user,category,source_id,number,amount,opened_at,department,state,type,processed_date,short_description,ci
Marcie Shulz,Services,MFI-20723923,EXP00000000,1299,2023-08-11 00:13:00,Customer Support,Processed,,2023-08-12 00:13:00.000000000,Configuration for Service Asset,Enterprise Cloud Service
Valerie Pou,Travel,,EXP00000001,1074,2023-07-02 10:47:00,Customer Support,Declined,,,Travel equipment allocation,Travel Kit - Nikon DSLR camera
Germaine Bruski,Assets,HMD-81762205,EXP00000002,5188,2023-10-10 22:33:00,Finance,Processed,,2023-10-16 23:44:01.956103185,Asset registration: HP EliteBook 840 G6,HP EliteBook 840 G6
Howard Johnson,Travel,,EXP00000003,4737,2023-10-04 07:15:00,Sales,Declined,,,Travel expenses for hardware assets,Dell Latitude 5501
Rachel Larrison,Assets,SUU-56742478,EXP00000004,1639,2024-03-09 04:19:00,Customer Support,Processed,,2024-03-12 16:24:57.541147181,Hardware Asset - Dell Precision 5530,Dell Precision 5530
Essie Vaill,Assets,KZN-99697053,EXP00000005,5409,2023-03-15 05:42:00,Sales,Submitted,,,Asset Configuration for Dell Laptop,Dell Latitude 5400
Petra Mcnichol,Travel,,EXP00000006,5347,2023-06-10 05:50:00,Customer Support,Processed,,2023-06-12 22:08:39.221714579,Automatically generated expense line for creation of travel equipment,Targus CityLite Laptop Bag
Danny Dales,Assets,HTS-14115706,EXP00000007,4370,2023-09-01 20:14:00,Customer Support,Processed,,2023-09-05 20:20:09.702749003,Company laptop asset registration,HP EliteBook 850
Leif Bachta,Assets,ZBP-80574654,EXP00000008,3222,2023-11-07 22:53:00,Sales,Processed,,2023-11-11 12:52:10.312664150,Dell Latitude E7450 Laptop Asset,Dell Latitude E7450
Luella Pliner,Assets,VJX-69518230,EXP00000009,6833,2023-02-06 06:08:00,Sales,Processed,,2023-02-08 22:57:53.886782866,Hardware asset registration for new device,Dell Latitude 7410
Geri Forness,Assets,FEC-63263906,EXP00000010,6613,2023-03-02 03:25:00,Customer Support,Pending,,,Allocated Dell Alienware Asset,Dell Alienware Desktop
Raphael Bickel,Travel,,EXP00000011,7447,2023-12-14 23:07:00,Sales,Processed,,2023-12-26 21:09:25.670531048,Travel related hardware asset creation expense,Traveler's Laptop Dell Inspiron 15
Essie Vaill,Assets,YHD-67296472,EXP00000012,6363,2023-06-05 06:32:00,Sales,Declined,,,New Hardware Asset Addition: Dell Inspiron 7000,Dell Inspiron 7000
Rob Woodbyrne,Services,QQV-14901145,EXP00000013,146,2023-03-07 12:57:00,Sales,Processed,,2023-03-14 18:47:40.077636601,Service related hardware asset created,Cloud Database Service
Mabel Weeden,Assets,GFZ-39651844,EXP00000014,8907,2023-05-31 00:51:00,Customer Support,Processed,,2023-06-04 14:58:58.720435012,Automatically generated asset line for creation of printer,HP LaserJet Pro M281fdw
