sys_updated_by,number,closed_by,state,caller_id,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority,category
system,INC0000000000,Howard Johnson,Resolved,Bud Richman,Fred Luddy,2023-01-01 05:11:00,2023-01-06 04:02:53.268663745,2023-01-06 04:02:53.268663745,Server connectivity issue,Network,2 - High,Network
employee,INC0000000001,Beth Anglin,Closed,David Loo,Howard Johnson,2023-01-01 13:01:00,2023-01-18 16:12:51.972767698,2023-01-18 16:12:51.972767698,Cannot connect to office VPN,Network,2 - High,Network
employee,INC0000000002,Charlie Whitherspoon,Closed,David Loo,Beth Anglin,2023-01-01 19:17:00,2023-01-04 19:45:07.755392239,2023-01-04 19:45:07.755392239,Database connection issue,Database,2 - High,Database
admin,INC0000000003,Fred Luddy,Closed,Bud Richman,Luke Wilson,2023-01-01 22:42:00,2023-01-03 09:48:52.506106003,2023-01-03 09:48:52.506106003,Unable to access VPN service,Network,2 - High,Network
employee,INC0000000004,Beth Anglin,Closed,Bud Richman,Charlie Whitherspoon,2023-01-02 17:03:00,2023-01-12 09:15:59.417401064,2023-01-12 09:15:59.417401064,Unable to connect to VPN,Network,2 - High,Network
admin,INC0000000005,Howard Johnson,Resolved,ITIL User,Luke Wilson,2023-01-04 10:25:00,2023-01-13 13:45:00.764492916,2023-01-13 13:45:00.764492916,Email server down,Network,1 - Critical,Network
admin,INC0000000006,Howard Johnson,Resolved,Don Goodliffe,Howard Johnson,2023-01-04 20:31:00,2023-01-10 20:28:56.239816334,2023-01-10 20:28:56.239816334,Email server down,Network,1 - Critical,Network
admin,INC0000000007,Charlie Whitherspoon,Closed,Bud Richman,Howard Johnson,2023-01-05 07:08:00,2023-01-06 07:08:00.000000000,2023-01-06 07:08:00.000000000,Email server is down,Network,1 - Critical,Network
employee,INC0000000008,Beth Anglin,Closed,Bud Richman,Beth Anglin,2023-01-05 23:17:00,2023-01-11 08:01:04.645395962,2023-01-11 08:01:04.645395962,Cannot connect to the office VPN,Network,2 - High,Network
system,INC0000000009,Luke Wilson,Resolved,Don Goodliffe,Howard Johnson,2023-01-07 06:55:00,2023-01-08 06:55:00.000000000,2023-01-08 06:55:00.000000000,Cannot connect to company WiFi,Network,2 - High,Network
employee,INC0000000010,Fred Luddy,Resolved,Bud Richman,Luke Wilson,2023-01-08 05:24:00,2023-01-17 21:35:45.153590529,2023-01-17 21:35:45.153590529,Printer not working properly,Hardware,2 - High,Inquiry / Help
employee,INC0000000011,Beth Anglin,Resolved,ITIL User,Fred Luddy,2023-01-08 09:11:00,2023-01-09 09:11:00.000000000,2023-01-09 09:11:00.000000000,Cannot access email on workstation,Service Desk,2 - High,Software
employee,INC0000000012,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-01-08 09:19:00,2023-01-12 18:59:36.443196323,2023-01-12 18:59:36.443196323,Cannot connect to database,Database,1 - Critical,Database
system,INC0000000013,Charlie Whitherspoon,Resolved,Don Goodliffe,Charlie Whitherspoon,2023-01-09 09:48:00,2023-01-16 20:56:33.832287939,2023-01-16 20:56:33.832287939,Cannot access database,Database,2 - High,Database
admin,INC0000000014,Fred Luddy,Closed,Don Goodliffe,Luke Wilson,2023-01-09 17:16:00,2023-01-16 08:12:13.223051785,2023-01-16 08:12:13.223051785,Unable to access Oracle database,Database,2 - High,Database
admin,INC0000000015,Beth Anglin,Resolved,Bud Richman,Howard Johnson,2023-01-10 04:04:00,2023-01-11 04:04:00.000000000,2023-01-11 04:04:00.000000000,Database connection issue,Database,2 - High,Database
employee,INC0000000016,Beth Anglin,Closed,Don Goodliffe,Beth Anglin,2023-01-11 08:07:00,2023-01-19 01:36:23.346318029,2023-01-19 01:36:23.346318029,Error in SQL Database connection,Database,1 - Critical,Database
admin,INC0000000017,Fred Luddy,Closed,David Loo,Charlie Whitherspoon,2023-01-12 14:27:00,2023-01-25 16:27:39.640050269,2023-01-25 16:27:39.640050269,Database server outage,Database,1 - Critical,Database
system,INC0000000018,Fred Luddy,Resolved,David Loo,Luke Wilson,2023-01-12 18:07:00,2023-01-24 16:29:01.247645359,2023-01-24 16:29:01.247645359,Unable to access database server,Database,2 - High,Database
system,INC0000000019,Beth Anglin,Closed,Don Goodliffe,Luke Wilson,2023-01-15 07:01:00,2023-01-16 07:01:00.000000000,2023-01-16 07:01:00.000000000,Email client not working properly,Software,3 - Moderate,Software
system,INC0000000020,Beth Anglin,Closed,David Loo,Howard Johnson,2023-01-15 12:06:00,2023-01-16 12:06:00.000000000,2023-01-16 12:06:00.000000000,Database server downtime,Database,1 - Critical,Database
admin,INC0000000021,Fred Luddy,Closed,Don Goodliffe,Luke Wilson,2023-01-15 23:47:00,2023-01-17 21:39:14.671661388,2023-01-17 21:39:14.671661388,Database connection issue on server,Database,2 - High,Database
employee,INC0000000022,Charlie Whitherspoon,Closed,ITIL User,Beth Anglin,2023-01-16 08:30:00,2023-01-17 08:30:00.000000000,2023-01-17 08:30:00.000000000,Email server not responding,Network,2 - High,Network
admin,INC0000000023,Luke Wilson,Closed,ITIL User,Beth Anglin,2023-01-16 12:46:00,2023-01-22 08:54:25.590454014,2023-01-22 08:54:25.590454014,Email server down,Network,1 - Critical,Network
system,INC0000000024,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-01-16 19:44:00,2023-01-20 05:52:48.563152955,2023-01-20 05:52:48.563152955,Cannot connect to VPN,Network,2 - High,Network
admin,INC0000000025,Luke Wilson,Closed,David Loo,Charlie Whitherspoon,2023-01-17 03:52:00,2023-01-26 12:33:20.109347825,2023-01-26 12:33:20.109347825,Cannot connect to VPN,Network,2 - High,Network
