cost,warranty_expiration,model_category,serial_number,sys_updated_on,department,asset_tag,purchased_on,assigned_to,display_name,ci
4208,2024-07-27 01:53:00,Computer,FAB-08483889,2024-03-14 01:53:00,Development,P1000000,2024-01-21 01:53:00,Allyson Gillispie,Dell Inspiron 7790 Computer,Inspiron 7790
4890,2024-02-10 20:29:00,Computer,SNF-87843340,2023-11-29 20:29:00,IT,P1000001,2023-11-12 20:29:00,Sam Sorokin,Dell Inspiron Desktop Computer,Inspiron Desktop
2818,2025-05-18 11:42:00,Computer,UOV-13907930,2024-02-11 11:42:00,IT,P1000002,2024-02-07 11:42:00,Garfield Lijewski,Dell Inspiron 15 3000 Series Computer,Inspiron 15 3000 Series
1987,2025-09-22 15:32:00,Computer,BPN-68889600,2024-02-02 15:32:00,Sales,P1000003,2023-12-30 15:32:00,Valeria Lingbeek,Dell Latitude 7490 Computer,Latitude 7490
2715,2025-01-03 12:16:00,Computer,NUA-00195760,2023-09-22 12:16:00,Customer Support,P1000004,2023-09-04 12:16:00,Rita Center,Dell Inspiron 15 Gaming Laptop,Inspiron 15 Gaming
2443,2024-12-26 12:58:00,Computer,IDV-87805226,2023-08-09 12:58:00,Sales,P1000005,2023-07-04 12:58:00,Heath Vanalphen,Dell Inspiron 7480,Inspiron 7480
2633,2025-03-29 14:47:00,Computer,TSH-64627905,2023-11-29 14:47:00,Customer Support,P1000006,2023-11-12 14:47:00,Peggy Hohlstein,Dell Inspiron 3580 Computer,Inspiron 3580
2293,2025-03-03 07:13:00,Computer,PJU-87093163,2023-10-01 07:13:00,Sales,P1000007,2023-08-10 07:13:00,Robt Braithwaite,Dell OptiPlex 3080 Computer,OptiPlex 3080
4001,2024-01-02 09:29:00,Computer,YDB-66491844,2023-06-06 09:29:00,Sales,P1000008,2023-05-18 09:29:00,Kurtis Mcbay,Dell Inspiron 14 - Computer,Inspiron 14
1546,2025-10-14 05:38:00,Computer,WUC-12027348,2023-11-18 05:38:00,Customer Support,P1000009,2023-10-25 05:38:00,Logan Muhl,Dell OptiPlex 7070 Desktop Computer,OptiPlex 7070
2993,2024-12-25 11:29:00,Computer,BZO-64911458,2023-11-16 11:29:00,Customer Support,P1000010,2023-10-21 11:29:00,Valentine Granberry,Dell Optiplex 7050 Desktop Computer,Optiplex 7050
4662,2023-11-18 03:02:00,Computer,CDG-49341093,2023-09-14 03:02:00,Finance,P1000011,2023-08-13 03:02:00,Danette Fostervold,Dell OptiPlex 3060,OptiPlex 3060
2710,2025-01-27 19:20:00,Computer,PFC-53178090,2023-10-25 19:20:00,Customer Support,P1000012,2023-09-27 19:20:00,Emery Reek,Dell Optiplex 780 Computer,Optiplex 780
4007,2024-07-26 06:30:00,Computer,LEU-01799295,2023-12-24 06:30:00,Sales,P1000013,2023-12-11 06:30:00,Olga Yarovenko,Dell OptiPlex 3070,OptiPlex 3070
3578,2024-04-07 19:41:00,Computer,BPD-10628418,2023-07-06 19:41:00,Sales,P1000014,2023-05-29 19:41:00,Elmo Gabouer,Dell Inspiron 14,Inspiron 14
4477,2024-05-14 11:43:00,Computer,FMX-80748061,2024-02-21 11:43:00,IT,P1000015,2024-01-01 11:43:00,Van Leanen,Dell Inspiron 15,Inspiron 15
3084,2025-01-11 06:32:00,Computer,EHG-46159427,2024-01-18 06:32:00,Sales,P1000016,2023-11-25 06:32:00,Roman Simone,Dell Latitude 9410 Computer,Latitude 9410
4335,2024-02-01 13:36:00,Computer,BUB-26076452,2023-09-28 13:36:00,Sales,P1000017,2023-08-22 13:36:00,Lacy Hyten,Dell Inspiron 15 5000,Inspiron 15 5000
1718,2025-10-31 14:27:00,Computer,KCS-67664361,2024-01-05 14:27:00,Customer Support,P1000018,2023-12-15 14:27:00,Danny Dales,Dell Inspiron Desktop Computer,Inspiron Desktop
1578,2025-09-16 12:22:00,Computer,MUQ-40886666,2023-11-19 12:22:00,IT,P1000019,2023-10-03 12:22:00,Barton Friesner,Dell Inspiron Desktop Computer,Inspiron Desktop
1537,2025-07-03 09:41:00,Computer,ZCV-89886126,2023-08-19 09:41:00,Sales,P1000020,2023-07-12 09:41:00,Roseann Jerko,Dell Inspiron 14 Computer,Dell Inspiron 14
3152,2025-02-28 18:20:00,Computer,FYI-26923510,2024-03-18 18:20:00,IT,P1000021,2024-01-26 18:20:00,Pierre Salera,Dell OptiPlex 7080 Desktop Computer,OptiPlex 7080
4157,2024-05-16 01:59:00,Computer,BGX-99700462,2023-12-20 01:59:00,Development,P1000022,2023-10-31 01:59:00,Alva Pennigton,Dell Optiplex 780 Desktop Computer,Optiplex 780
1616,2025-04-20 17:33:00,Computer,AIO-12666592,2023-06-07 17:33:00,Sales,P1000023,2023-05-15 17:33:00,Lane Brantz,Dell Latitude 7400 Computer,Latitude 7400
1729,2025-11-15 02:18:00,Computer,NCC-42003572,2024-01-03 02:18:00,Customer Support,P1000024,2024-01-01 02:18:00,Prince Kauk,Dell XPS 17 Laptop,XPS 17
3618,2024-03-25 13:41:00,Computer,KYD-10624166,2023-06-07 13:41:00,Sales,P1000025,2023-05-24 13:41:00,David Dan,Dell Latitude 7400 Computer,Latitude 7400
3700,2024-06-11 11:26:00,Computer,VHB-28230435,2023-09-26 11:26:00,Sales,P1000026,2023-08-26 11:26:00,Elmo Dagenais,Dell Inspiron 5491 2-in-1 Computer,Inspiron 5491 2-in-1
3513,2024-06-19 09:35:00,Computer,LAJ-17047957,2023-08-28 09:35:00,IT,P1000027,2023-07-28 09:35:00,Byron Fortuna,Dell Inspiron 14R,Inspiron 14R
2227,2025-08-13 04:40:00,Computer,VAX-30937997,2024-03-07 04:40:00,Customer Support,P1000028,2024-01-07 04:40:00,Mitch Schattner,Dell Inspiron 530 Desktop Computer,Inspiron 530
3022,2025-01-16 05:18:00,Computer,IJK-78828100,2023-12-20 05:18:00,Product Management,P1000029,2023-11-18 05:18:00,Carla Sirbaugh,Dell Inspirion Computer 3282,Inspirion 3282
2710,2024-10-29 07:25:00,Computer,PKO-06916073,2023-07-23 07:25:00,Customer Support,P1000030,2023-06-29 07:25:00,Lynette Setlock,Dell Inspiron Desktop Computer,Inspiron Desktop
4934,2024-03-28 18:41:00,Computer,QGE-69219553,2024-02-06 18:41:00,Customer Support,P1000031,2023-12-29 18:41:00,Naomi Caetano,Dell Inspiron 15 Computer,Inspiron 15
3727,2024-11-28 04:35:00,Computer,FLX-93185006,2024-02-23 04:35:00,Finance,P1000032,2024-02-18 04:35:00,Jimmy Hrobsky,Dell Inspiron 7500,Inspiron 7500
3498,2024-08-29 02:34:00,Computer,KIT-00441103,2023-11-01 02:34:00,Finance,P1000033,2023-10-04 02:34:00,Corinne Cowan,Dell OptiPlex 7050 Desktop Computer,OptiPlex 7050
2233,2025-07-02 07:08:00,Computer,WGI-09302931,2023-12-24 07:08:00,IT,P1000034,2023-11-27 07:08:00,Stacey Blow,Dell Inspiron 15 3000 Series,Inspiron 15 3000 Series
