target_percentage,sys_updated_by,priority,metric,percent_complete,sys_id,state,start_date,end_date,department,category,owner,description
52,admin,Low,Expense Ratio,79,G000000,Completed,2022-06-17,2022-06-28,HR,Cost Reduction,User 1,Optimize the usage of duplicated resources across functions to achieve a cost reduction of 20% in the next fiscal year.
97,admin,High,Expense Ratio,97,G000001,Completed,2022-11-14,2023-04-11,IT,Customer Satisfaction,Christian Marnell,Increase our customer satisfaction ratings from 78% to 90% by the end of Q4 through improved after-sales support and introducing more personalized customer interactions.
69,admin,Low,Employee Turnover Rate,8,G000002,In Progress,2022-09-15,2023-07-28,HR,Efficiency,Frankie Morein,Establish more efficient communication channels to decrease the time spent on status meetings by 20% compared to last quarter.
58,admin,Medium,Employee Turnover Rate,25,G000003,Cancelled,2022-03-16,2023-07-06,Marketing,Employee Satisfaction,Jess Assad,Develop and implement a comprehensive Employee Engagement Program to increase employee satisfaction survey scores from 75% to 85% throughout the upcoming year.
76,admin,Low,Survey Score,13,G000004,In Progress,2022-08-02,2022-07-18,IT,Revenue Growth,Devon Teston,Increase the number of premium subscriptions by 20% compared to last quarter i.e. from 1000 to 1200 to boost the company's revenue growth.
74,admin,Medium,Employee Turnover Rate,27,G000005,Planned,2022-04-23,2023-07-27,Finance,Employee Satisfaction,Timothy Janski,"Implement bi-annual team-building activities, promote work-life balance through flexible working hours, and conduct employee satisfaction surveys to increase overall employee satisfaction by 20% compared to last year."
70,admin,Medium,Employee Turnover Rate,28,G000006,Completed,2022-06-21,2022-12-28,Finance,Revenue Growth,Vernon Engelman,Expand our market presence to new geographies leading to a projected increase in annual revenue by 20% i.e. from $1M to $1.2M.
81,admin,High,Sales Increase,90,G000007,Completed,2022-03-06,2022-07-04,HR,Efficiency,Eva Seahorn,"Develop and enforce efficient use of software licenses across the organization, aiming to reduce license costs by 20% in the next fiscal year."
90,admin,Medium,Sales Increase,10,G000008,In Progress,2022-04-10,2023-01-01,HR,Efficiency,Timothy Janski,Rework internal operations and eliminate redundant tasks to improve process efficiency and increase productivity by 20% over next quarter.
61,admin,Low,Survey Score,64,G000009,Completed,2022-01-02,2022-08-22,HR,Revenue Growth,Rosalia Kennemur,"Increase sales in our ecommerce sector by 20% in the next fiscal year, with a capability transformation and concentrated digital marketing efforts."
62,admin,Medium,Survey Score,8,G000010,Completed,2022-07-17,2022-07-22,IT,Efficiency,Corinne Cowan,"Improve the usage of existing resources by ensuring server utilization meets 80% mark consistently throughout the quarter, thus reducing idle server time and enhancing system efficiency."
53,admin,High,Expense Ratio,61,G000011,Completed,2022-09-15,2022-12-15,IT,Customer Satisfaction,Lucas Santellana,Enhance customer support procedures to achieve a customer satisfaction rate increase by 20% by the end of this quarter by reducing wait time and increasing resolution rates.
100,admin,Medium,Survey Score,6,G000012,Completed,2022-05-05,2023-07-31,HR,Customer Satisfaction,Henrietta Cintora,Increase customer satisfaction score to 90% from 75% by implementing improved user-interface and better post-purchase support system.
86,admin,Low,Employee Turnover Rate,24,G000013,Cancelled,2022-06-27,2022-10-25,Finance,Customer Satisfaction,Mabel Weeden,Increase customer satisfaction levels by implementing a more efficient and responsive helpline service aiming to reduce call waiting times by 20% over the next 2 quarters.
71,admin,Medium,Employee Turnover Rate,12,G000014,In Progress,2022-07-08,2022-12-27,Finance,Customer Satisfaction,Elisa Gracely,Enhance customer service training to improve support quality and increase customer satisfaction rate by 20% over the next quarter as compared to the last quarter.
89,admin,Critical,Sales Increase,53,G000015,In Progress,2022-10-02,2022-04-15,IT,Employee Satisfaction,Dollie Pillitteri,"Increase employee satisfaction level by facilitating regular communication sessions, arranging team building activities and improving workspace ergonomics, with an aim to boost the overall employee satisfaction score by 20% in the coming quarter."
68,admin,High,Employee Turnover Rate,83,G000016,Completed,2022-06-18,2023-04-04,IT,Revenue Growth,Alfonso Griglen,"Develop and execute a strategy to enhance customer acquisition rates by at least 20% in the next fiscal year, aiming to increase overall revenue by 25%."
84,admin,Critical,Expense Ratio,55,G000017,In Progress,2022-02-20,2023-05-12,IT,Cost Reduction,SLA Admin,"Streamline the company's software portfolio to remove redundancies and unused licenses, aiming for a 20% reduction in IT costs compared to previous fiscal year."
68,admin,Medium,Survey Score,12,G000018,In Progress,2022-10-10,2023-01-11,HR,Customer Satisfaction,Logan Muhl,Develop and execute a robust feedback system to increase customer satisfaction rate by 20% in the next quarter compared to the previous quarter ratings.
81,admin,Medium,Expense Ratio,48,G000019,In Progress,2022-04-04,2023-02-25,Marketing,Customer Satisfaction,Renae Eldrige,Improve customer service response time by 20% over the next quarter to increase customer satisfaction ratings from 3.5 to 4.5 on the 5-point scale.
53,admin,Low,Expense Ratio,23,G000020,In Progress,2022-05-03,2022-11-26,Marketing,Efficiency,Justina Dragaj,Develop and execute a comprehensive plan to increase overall operational efficiency by 20% through automation and process improvements in the next fiscal year.
83,admin,High,Sales Increase,66,G000021,In Progress,2022-08-01,2023-04-21,IT,Cost Reduction,Tammie Schwartzwalde,Introduce automation and redesign workflow to cut down operational expenses by 20% within the next two quarters compared to the current financial year.
91,admin,High,Expense Ratio,93,G000022,Completed,2022-11-17,2022-11-21,IT,Employee Satisfaction,Corinne Cowan,Increase employee satisfaction by implementing flexible work hours and monthly team activities aiming 20% improvement in annual employee satisfaction survey results.
72,admin,Critical,Expense Ratio,83,G000023,Completed,2022-11-03,2022-09-28,Marketing,Employee Satisfaction,Travis Brockert,Improve workplace environment and offer flexible work hours to increase overall employee satisfaction rate by 20% in the next quarter.
79,admin,Medium,Employee Turnover Rate,30,G000024,In Progress,2022-06-18,2022-08-29,Marketing,Efficiency,Sean Bonnet,Incorporate automated workflows and reduce duplications in various workstreams to increase overall operational efficiency by 20% in the next fiscal year.
91,admin,Low,Sales Increase,71,G000025,Planned,2022-02-28,2023-04-05,IT,Efficiency,Travis Brockert,Optimize workflow within the organization to increase efficiency by 20% over the next quarter. This includes reducing manual tasks through automation and improving communication channels.
70,admin,Low,Survey Score,65,G000026,Planned,2022-05-26,2022-10-04,Marketing,Cost Reduction,Naomi Greenly,Adopt automation in the inventory management system to decrease expenses by 10% relative to last year's expenditure i.e. from $150K to $135K.
81,admin,Medium,Expense Ratio,40,G000027,In Progress,2022-05-10,2023-07-06,Marketing,Cost Reduction,Suresh Yekollu,"Optimize resources and automate repetitive tasks to reduce expenses by 20% in the next quarter, equivalent to a cost reduction of $300K from the last fiscal year."
89,admin,Medium,Sales Increase,75,G000028,Cancelled,2022-08-08,2023-02-17,Marketing,Cost Reduction,Adela Cervantsz,"Optimize operational efficiency by adopting automation in repetitive tasks across departments reducing overhead costs by 20% i.e., a reduction from $150K to $120K annually."
53,admin,Critical,Survey Score,69,G000029,Completed,2022-07-29,2023-04-08,IT,Customer Satisfaction,Denice Nordlinger,Improve after-sales service quality and response time to increase customer satisfaction score by 20% compared to previous year's ratings.
100,admin,High,Employee Turnover Rate,83,G000030,In Progress,2022-03-02,2023-06-22,IT,Customer Satisfaction,Christa Bodenschatz,Increase customer satisfaction rating to 90% by improving technical support response times and targeting at least 95% first call resolution rate.
83,admin,Low,Survey Score,51,G000031,In Progress,2022-01-05,2022-10-25,Marketing,Employee Satisfaction,Cary Mccamey,Design and execute an extensive employee engagement program aiming to improve overall employee satisfaction by 20% as gauged by the annual company-wide satisfaction survey.
83,admin,High,Expense Ratio,69,G000032,Completed,2022-10-09,2023-08-21,Marketing,Customer Satisfaction,Misty Ericksen,Develop and enforce a robust customer feedback system to improve customer satisfaction score by 20% over the next quarter.
