goal_id,state,owner,department,start_date,end_date,priority,target_percentage,goal_met
83be5a75-1c83-4b30-88d8-dfb57731a568,Closed,Courtney Bray,Finance,2024-07-30,2024-09-04,High,87.84,False
297db06d-98b8-4674-918e-241f613d04d3,Open,Joshua Jennings,Finance,2024-07-09,2024-10-02,Medium,84.03,False
5e48505b-915f-4636-a809-1f9f31020227,In Progress,Steven Harmon,Finance,2024-08-05,2024-10-14,High,77.6,True
d10b55a8-47d5-4254-bdac-cf9eaa7c1d59,In Progress,Jo Wise,Finance,2023-11-09,2024-04-04,Critical,75.86,True
a0683223-18f2-4602-aa06-f036edf7a1db,In Progress,Mike Johnson,IT,2024-08-30,2024-11-17,Critical,77.11,False
836fa5c7-2b59-4133-a375-d78e21cb241b,In Progress,Scott Serrano,Operations,2024-05-12,2024-07-22,High,83.67,False
88de4b34-a5f6-4c10-812a-4eb603b013c3,Closed,Lawrence Blair,Sales,2024-03-09,2024-08-22,Critical,82.8,False
0fbfad5d-531e-4c73-81b5-493743cea1a3,Closed,Jocelyn Hale,Operations,2024-04-23,2024-06-06,Low,71.32,True
b263ac26-1bf5-4524-9d6f-e401e2efdcc1,Closed,Alexandra Harmon,Operations,2024-03-14,2024-06-06,High,75.3,False
af1223f4-085d-43cf-bf28-c0a3ce5e0981,Closed,Margaret Daugherty,IT,2024-01-14,2024-04-20,High,89.95,False
b17f38d5-ac2f-4ac3-a84d-55ef09476897,In Progress,Angela Bush,Finance,2024-05-24,2024-07-05,Critical,67.7,False
6d47bd8e-3795-420d-9d31-6df92cd32fa5,In Progress,Christopher Smith,IT,2023-12-22,2024-01-23,Medium,72.82,True
1f3ebab7-6272-43f7-b568-dfbf36a23bf6,In Progress,Sean Dixon,Sales,2023-11-15,2024-04-09,Low,70.01,True
344f77f3-edaa-42d9-bf58-6e5fcf94e277,Open,Ann Gross,Operations,2024-09-12,2025-02-18,Critical,89.07,False
c17c9ae6-0ef3-48ca-8ce5-32d66438c931,Open,Samantha Glenn,IT,2024-01-06,2024-04-27,Critical,86.63,False
6768b7de-608d-46ff-bedb-1af46273e939,Open,Wanda Romero,Sales,2024-02-14,2024-08-07,Critical,75.21,True
3e6d1173-0041-4a14-83c3-288321cde399,Open,Christina Rose,HR,2024-03-28,2024-09-14,High,74.24,False
9bc56003-5aad-444f-a09b-abff52c5634e,Closed,Justin Fitzgerald,Sales,2024-06-13,2024-09-30,Low,80.35,True
7f71b4ac-91bc-42e0-b3bf-a680469167e4,Open,William Burton,Finance,2024-07-08,2024-11-01,Medium,74.16,True
0f3a47ae-1e26-42da-8b9e-6d8cdaea5164,Open,Cole Rodriguez,Operations,2024-10-24,2024-12-11,High,72.65,True
7ca0fd26-e1e2-4476-95d6-d1d2d0bafa6d,Closed,Donna Little,IT,2024-05-26,2024-10-24,Medium,71.94,True
17532301-67ce-4e2c-89b4-c413b85b3254,In Progress,Jessica Cruz,HR,2024-01-21,2024-06-18,Medium,68.05,True
37ab5bc9-f73e-43c2-bacd-a75ef90276cc,Open,Billy Lewis,Sales,2024-06-07,2024-08-25,Medium,75.0,True
c5476c14-c776-4e0b-b024-ae3e7105e4c8,Closed,Kenneth Ellis,Finance,2024-03-17,2024-04-28,Low,86.97,False
c7d07918-760d-4928-9cad-bd60025e3093,In Progress,Dana Cruz,HR,2024-10-20,2025-01-12,Low,75.3,False
5dd997e8-06b9-44a9-bc7c-34d4691124cc,In Progress,Joanne Peters,IT,2024-06-17,2024-11-18,Critical,80.84,False
9a04bf63-c865-4c6f-b016-2e5d0775c850,Closed,Tanya Rivera,HR,2024-04-26,2024-10-01,Critical,73.72,True
cb70b2f8-a737-4468-9303-c482303afb9c,Closed,Colleen Mills,Sales,2024-10-26,2025-03-08,Low,60.79,True
e61895cc-61c7-4426-9231-6721e14fb37d,Closed,John Robinson,IT,2023-12-12,2024-06-03,High,77.92,True
48d8b0ea-cc13-4aa0-9f94-def7b1031edf,In Progress,Amy Knight,Finance,2024-09-17,2024-10-19,Medium,80.75,True
8ed90589-cc3b-41f3-b003-2fa3966c0b23,Open,Jesse Carroll,Operations,2024-05-24,2024-07-10,High,82.23,False
7f1ef9b0-cbdf-4fe6-8704-c5ca10cbad36,Open,Whitney Hill,IT,2024-07-20,2024-11-03,Low,74.85,False
c810cf55-99c8-4415-968c-5e9ecd8a9662,Open,Angela Davis,Operations,2024-08-11,2024-11-01,Medium,78.47,True
6f5a770c-dda1-48dd-a94f-c2b539f9b52c,Open,Candace Fisher,Operations,2023-11-06,2024-01-16,Medium,71.5,True
b9a4a199-1730-4735-9619-40e54d1dd761,Open,Brittany Sanchez,IT,2024-07-05,2024-08-13,Medium,77.29,True
af9d7dfe-eeab-4be0-945a-96ff346cd83d,Open,Michael Weaver,Operations,2023-12-05,2024-02-26,Medium,87.49,False
dd1b93be-ad4e-4d69-ae42-c9f0d194e3fc,Closed,Darrell Wyatt,Sales,2024-01-20,2024-04-19,Low,70.5,False
5fd30042-bdf0-4aba-8700-0fe726baa4ff,In Progress,Tammy Green,HR,2023-11-26,2024-02-27,Critical,70.77,False
80a72b03-0cfb-4399-a587-ab36f04d148c,Open,Casey Williams,HR,2023-12-10,2024-04-07,Low,83.2,True
d92bdba2-0fd4-4236-a5f7-adff9e213b70,In Progress,Brian Booker,Finance,2024-10-05,2025-01-14,Medium,80.72,False
aafcdb2a-5320-4015-af3d-b96d6796892c,Open,Danielle Harper,Operations,2023-12-12,2024-02-25,Low,76.91,False
43cbdf85-c83f-4d2e-9b2f-1131f2cd2ad5,Closed,Tyler Travis,Finance,2024-10-16,2025-02-21,Critical,88.51,True
83d919fd-0b16-4213-bd8b-1c161eafe965,Closed,David Hardy,Sales,2023-12-25,2024-04-26,Critical,76.28,False
e59c9225-42c2-4c9b-919c-4e3142c2ae56,Closed,Michelle Spencer DDS,Operations,2024-05-05,2024-10-11,Medium,81.09,False
55404706-910b-407a-bf15-0c12ba4c1891,Closed,Aaron Hunt,HR,2023-12-24,2024-03-07,Medium,76.08,False
199f4969-afc6-4e1a-8359-6057a77a7563,Closed,Dawn Craig,IT,2024-01-01,2024-04-22,High,85.87,False
58d17379-abb3-4747-8c58-aff6544125c0,Closed,Max Phillips,Sales,2024-07-06,2024-08-26,Medium,86.37,True
2dc0a67e-82fb-462e-96df-57ed792659fc,Closed,Ashley Miller,Operations,2024-02-13,2024-05-10,Critical,85.37,False
bc6c37e2-4e02-445d-9786-0549d255f468,Closed,Scott Delgado,Sales,2024-04-19,2024-08-25,High,87.21,False
26e4d2a4-3bfb-415e-9e92-d04bd9785ee9,Open,Megan Wells,Sales,2024-09-18,2025-02-27,Critical,86.03,False
a0819369-1b3c-4220-89dd-e9f98a7d5ddc,Closed,Karl Cross,Operations,2024-02-04,2024-06-26,Low,88.14,True
69b7365a-068b-4043-8488-773d3f291623,Open,Christine Chen,HR,2024-02-16,2024-07-10,Medium,85.55,True
0e3a3f6d-3c6a-4196-9f95-936ac35c0131,Open,Danielle Martinez,Operations,2024-04-11,2024-08-31,Medium,70.8,True
eb4343a3-a7bc-4432-9cb2-3dae9b73679f,Closed,Christopher Crawford,Sales,2024-01-04,2024-03-28,High,61.25,False
8a1b9940-bc8e-4f6e-85bb-706360f58594,In Progress,Tabitha Martinez,IT,2024-05-21,2024-06-25,High,77.8,False
ab4b802d-a4db-458f-8942-e27817e0b3f8,Closed,Jennifer Davis,IT,2024-10-26,2025-01-20,High,76.72,True
d5a4e0fd-9cd3-4779-b2a9-cf0e1f997c88,In Progress,Michael Rodriguez,Sales,2024-03-09,2024-08-05,Low,81.84,False
cef90203-e8af-4699-affc-91db4a641855,Open,Eric Hess,HR,2024-06-01,2024-08-04,Critical,76.54,False
7f4055bc-bfe1-4731-ae20-e7015ab3a447,In Progress,Eric Martinez DDS,Operations,2024-03-02,2024-04-21,Critical,77.0,False
6cc26fe2-a87f-4c95-a6d5-5253edd7bca6,Closed,Brian Fisher,Finance,2023-11-07,2023-12-14,Critical,79.47,False
181d7af5-6014-4f3b-ae4a-a439d72de0f0,In Progress,Eric Evans,Operations,2024-09-21,2025-01-23,Medium,85.56,False
c64525c8-767f-41a5-9953-7b0116bbaaf2,In Progress,Megan Hurst,Finance,2024-09-24,2025-03-21,Low,67.51,False
bcadedb9-f256-4b6d-8324-f9b190b732e3,Open,Adam Calderon,Finance,2024-01-23,2024-04-24,Medium,76.11,True
f6b05586-a544-4948-a638-13a9639c9987,Closed,Catherine Burke,Finance,2023-12-18,2024-04-14,High,76.82,False
c3fd57f1-8379-45d7-b763-c9feb27d4481,In Progress,Tina Gillespie,Finance,2024-10-24,2025-03-13,Medium,78.71,False
5d5248fd-1174-4eb4-9ee9-b190f78d6a1c,Closed,Diana Stafford MD,Operations,2024-08-24,2025-02-07,High,76.45,False
573cbae4-ebc3-482c-b9e9-583b921fdb10,Open,Jessica Johnson,Operations,2024-09-12,2025-02-04,Medium,76.73,False
