number,opened_at,state,short_description,location,processing_time,processed_date,user
af216d15-51d4-4ab1-8f7c-04cd36cb7940,2024-03-12 13:46:11,Declined,Share later act born just. Oracle,Africa,0.0,,Jessica Anderson
35db28f3-ef48-479b-8df9-682d22a8a3d3,2024-02-06 00:15:06,Processed,Standard nothing gas mean manage question sure. Automated,Europe,10.0,2024-02-16 00:15:06,Christopher Garcia
f82c3d72-08d6-431c-841c-daafad220927,2024-02-16 12:52:34,Submitted,Nearly official bag set. Travel,South America,0.0,,Angela Rodriguez
e72048a6-67a5-4875-a5a8-9a5cab535308,2024-04-10 19:17:41,Pending,Account white kid civil. Cloud,Africa,0.0,,Robert Taylor
fb6b2d5f-2080-42c0-a7c1-a8f735c4f876,2024-04-13 08:56:44,Submitted,Anything really walk direction father. Server,North America,0.0,,Barbara Martinez
96196027-1248-4895-ad44-9806b61eeedf,2024-03-01 19:01:18,Declined,Try against plan street house.,Europe,0.0,,Richard Thomas
6e34b43b-d20c-4c26-8ec3-b20950266df7,2024-09-24 12:24:00,Declined,Mention a Congress blood direction.,Europe,0.0,,Steven Clark
3a6aa9fd-99e8-46d0-9f39-a2b77e80f581,2024-04-07 21:41:34,Declined,Mrs drug glass civil mission chance tree. Automated,South America,0.0,,Richard Thomas
91dd392e-9731-4f38-b285-fe10cf781996,2024-04-05 20:50:10,Pending,Agent wind alone forget among seat run.,Europe,0.0,,Michael Johnson
761beade-7efa-4ce8-bd8b-9ec6a00e6eeb,2024-05-23 22:29:26,Processed,News history and outside continue accept. Travel,Europe,5.0,2024-05-28 22:29:26,William Brown
f975c2a2-4950-4fff-994f-5f7e52b4d552,2024-01-21 12:03:56,Declined,Career huge season sometimes kid true detail.,Asia,0.0,,Karen Jackson
47504a62-6e2f-49de-9457-095844c8bf89,2024-10-20 04:30:24,Declined,Investment material actually early explain nation still.,South America,0.0,,William Brown
b660daec-6cd0-405f-8009-4de1f3ed534c,2024-01-19 06:31:41,Processed,Federal popular current build agree stand spring nothing. Travel,South America,9.0,2024-01-28 06:31:41,Jane Doe
d68fb372-8be8-4293-9131-a2a1e2b65b41,2024-04-01 08:51:48,Declined,Discover reason certainly people speak science employee.,North America,0.0,,Jessica Anderson
e4b224ae-73c8-489c-a86f-a8c7dcf4f445,2024-04-11 07:03:21,Processed,Letter but them weight.,Africa,9.0,2024-04-20 07:03:21,Robert Taylor
6d73df13-bf03-4079-9585-f71e6fa814c9,2024-08-02 03:47:49,Submitted,Authority surface see total late important. Oracle,Europe,0.0,,Robert Taylor
e564788a-86d5-44bb-b059-60fbf79cf232,2024-03-22 17:41:29,Declined,Use school long part sense instead feel plan. Travel,South America,0.0,,Christopher Garcia
dd44eca9-3bbd-49ed-b6a8-5b7b949712ca,2024-07-11 02:37:10,Pending,Interest military can international child.,South America,0.0,,William Brown
78843425-6431-4bd5-8336-8d28372e8a86,2024-05-13 14:53:16,Pending,Move difficult perhaps well again.,Africa,0.0,,Christopher Garcia
de1c3c11-181d-4ea7-a491-5370707cac95,2024-09-20 10:38:51,Processed,Tonight deal reach daughter too.,Asia,6.0,2024-09-26 10:38:51,David Wilson
03dc3b06-ea96-44ef-a246-1e490454f228,2024-08-09 14:03:37,Processed,Everything base decision degree.,South America,1.0,2024-08-10 14:03:37,Patricia Thompson
63353367-09c8-47e6-a85c-51bff784e8c6,2024-06-05 00:27:17,Processed,Down Mrs history everybody story maybe. Travel,Europe,14.0,2024-06-19 00:27:17,Barbara Martinez
41b09854-83da-48c9-93cb-3ab9396dd778,2024-05-29 14:51:17,Submitted,Whose move power grow. Automated,Europe,0.0,,Charles Martin
0392d834-6bdb-4212-bf30-60bf7523aaca,2024-07-29 06:06:25,Processed,Agreement summer hold space especially. Automated,Europe,10.0,2024-08-08 06:06:25,Lisa Harris
fc98926f-bd17-49eb-8d11-c8b5293bac9a,2024-09-05 18:51:35,Submitted,Group already again maybe read represent security. Server,Africa,0.0,,Patricia Thompson
28c94b1b-a75c-41c6-8480-c5b149e44e40,2024-02-26 03:13:11,Pending,Kind employee watch reveal skin describe. Oracle,Europe,0.0,,Linda Miller
d9fee7d4-fe0a-4330-a972-c742694605cb,2024-02-22 15:21:52,Pending,Drive describe fact book position. Travel,South America,0.0,,William Brown
2f37e42c-30cd-41d1-9efd-f4ca370eb135,2024-10-19 00:41:10,Submitted,Capital new prepare own identify page state effort. Cloud,North America,0.0,,William Brown
37b36079-1ec5-4aee-a0a9-69e5d5735e3d,2024-03-03 13:34:09,Submitted,Hospital along goal however travel what learn. Cloud,North America,0.0,,Christopher Garcia
ee4caa7b-2599-4751-9333-9c0d931e9d41,2024-06-19 23:26:04,Declined,Method level provide knowledge west.,North America,0.0,,Patricia Thompson
edc10d1f-9e29-4b5b-ac43-d978f7b82724,2024-03-27 03:26:10,Processed,Agency wear morning treatment plan attention during. Automated,Asia,5.0,2024-04-01 03:26:10,Patricia Thompson
85ca714f-289f-48c6-9e72-fbca2578788d,2024-01-04 01:12:27,Submitted,Easy where total left.,Europe,0.0,,Jessica Anderson
2d7ab5ab-bad9-4f1a-9519-f0ecd6c62421,2024-07-17 17:14:41,Processed,News trial music. Server,North America,9.0,2024-07-26 17:14:41,William Brown
9b8c057f-4d63-4034-b84f-ef3bf0ff517f,2024-07-09 00:56:31,Submitted,Traditional since establish build gun provide yet. Automated,South America,0.0,,David Wilson
18c43cf6-f39b-42fd-bd70-9cc220fbf7d9,2024-10-27 11:47:51,Submitted,Fine floor provide against. Automated,Europe,0.0,,Charles Martin
3e36bd7e-8c98-44ad-a95e-e158ae98d8d6,2024-04-24 11:36:59,Pending,War forward without nature see decade. Oracle,North America,0.0,,Sarah Moore
f6326559-9e02-467a-9acb-2ebd13e515a8,2024-01-23 20:29:07,Pending,Firm painting focus study. Travel,Europe,0.0,,Christopher Garcia
8f2cfacc-06d8-419e-bab6-b9d5485e8f3f,2024-08-02 20:38:10,Submitted,Analysis general month against arrive civil along kind. Travel,Asia,0.0,,Charles Martin
d28e3b70-98f9-4426-af44-c8e877edae59,2024-08-17 09:09:48,Processed,Wait huge spend what white.,Asia,3.0,2024-08-20 09:09:48,Angela Rodriguez
2363dca6-ae74-4b6c-8a5a-72b14ada0569,2024-06-24 14:56:53,Processed,Total health power.,Europe,5.0,2024-06-29 14:56:53,Patricia Thompson
1d861b8c-0d8b-4496-b0d7-86f970fa2a1a,2024-02-26 18:42:22,Processed,Run doctor support just rate. Server,Africa,4.0,2024-03-01 18:42:22,Richard Thomas
59a2eeed-0d7a-4778-94cd-fbe38a755f7f,2024-10-20 08:12:34,Submitted,Author decade question there. Travel,North America,0.0,,Emily Davis
e1429e89-3c1d-4353-a532-7c18e5c0e5e3,2024-07-01 04:03:32,Processed,Item develop inside person.,Africa,2.0,2024-07-03 04:03:32,Thomas White
ff8bda64-1cc4-40fc-80ed-175f456c6e76,2024-06-02 07:46:38,Submitted,Those if customer myself add.,Europe,0.0,,Jessica Anderson
359e24c6-1b48-449a-a7bf-1ef1163015dc,2024-04-25 12:31:05,Processed,Street reality music among shake us hear.,South America,11.0,2024-05-06 12:31:05,Sarah Moore
970d2822-f8ee-4452-a01a-354f9724f1d7,2024-01-23 11:16:30,Pending,May child sport sport. Oracle,Asia,0.0,,Michael Johnson
8ab114e6-14bc-4272-9d96-d1677a697885,2024-02-18 18:42:31,Pending,Her subject woman together car store rise. Oracle,Europe,0.0,,Michael Johnson
b43a38d3-31fd-43c1-b5df-72b33eb8f9f4,2024-01-29 22:21:51,Pending,Trial east difference sit force. Travel,Europe,0.0,,Thomas White
b4f0ec89-e6e0-4ba3-b663-6e2842134cd1,2024-06-21 00:58:05,Pending,Week form particularly school him Mr either much. Travel,Africa,0.0,,Steven Clark
8dc6da9d-9b29-4c9d-a5ed-581817335765,2024-04-18 10:46:54,Processed,Plan card tonight official through public speech. Travel,Europe,1.0,2024-04-19 10:46:54,John Smith
c4835be0-ad46-4e4d-a259-81f73b80d039,2024-01-10 21:20:52,Declined,Call enough table else.,Europe,0.0,,Barbara Martinez
8847c2d3-9ec9-4358-8b99-813118243f80,2024-05-15 13:32:41,Pending,Few whom wish fight themselves fight.,Africa,0.0,,Steven Clark
331b594f-09d8-4076-8611-bc43fd7e44c7,2024-04-03 03:07:23,Pending,Determine still until nor ever. Oracle,South America,0.0,,Linda Miller
f829966d-45a6-45f2-8a56-0e0da787f314,2024-06-01 04:09:11,Declined,Tell body picture minute develop me product. Oracle,South America,0.0,,Karen Jackson
c7069d0b-9c15-4461-92a1-e1bde4c3aa12,2024-01-30 12:42:41,Declined,Really send her write personal. Automated,Asia,0.0,,David Wilson
cc360a4a-6b67-4a1a-96c3-3ea8dfaec9e5,2024-05-16 04:33:37,Declined,Do traditional decade realize fire.,Asia,0.0,,Angela Rodriguez
06440b55-6b6f-44a3-9f9c-7a78a2b2efc3,2024-07-26 14:30:23,Submitted,Adult true respond different rather.,South America,0.0,,William Brown
d685e589-df10-48f5-af68-e3e5e18d8ce0,2024-04-06 04:57:45,Submitted,Step government policy beyond Mrs beat worker.,North America,0.0,,Barbara Martinez
2d93fe0c-af7f-47a5-a6d9-24f47b6ff701,2024-07-17 06:40:50,Processed,Fight fire staff likely item tell would. Automated,South America,3.0,2024-07-20 06:40:50,David Wilson
7ea15b61-cc44-4d9f-90c8-50130df3e758,2024-03-19 21:11:26,Pending,Step network mind focus hear relate.,North America,0.0,,Christopher Garcia
f39c884f-fdfb-484d-8349-f890529d1b31,2024-10-21 02:15:51,Pending,Cell debate Democrat let cultural go.,North America,0.0,,Sarah Moore
7fe7bffc-252a-4c9c-bed4-e8282c5a89ea,2024-10-08 01:00:39,Declined,West serious true message away culture. Cloud,South America,0.0,,Linda Miller
3f315ecb-e68e-40eb-878b-b1864267e926,2024-04-02 20:07:34,Submitted,Kitchen thousand every support hit.,Africa,0.0,,David Wilson
46b8b329-e9e9-4492-8cce-15ba8ac8bc69,2024-05-05 23:40:39,Pending,Without position production growth our back item hundred. Server,North America,0.0,,Thomas White
9f6b514d-fa49-40cd-b08b-d60fdad06fc9,2024-08-13 06:48:37,Pending,However clear parent born ball. Server,Africa,0.0,,Charles Martin
e0768837-6047-4816-ab67-99c489ffd25e,2024-10-04 03:23:59,Processed,Pretty political case really. Oracle,Europe,5.0,2024-10-09 03:23:59,Steven Clark
b231da34-ef63-4c17-8bea-b71bad84e957,2024-05-19 22:54:00,Pending,American help truth happen same dream suddenly.,Africa,0.0,,Robert Taylor
3ad318f7-e2bf-4e42-a623-653caf42b06d,2024-02-27 06:45:53,Processed,Sea protect piece man. Automated,Asia,1.0,2024-02-28 06:45:53,Thomas White
fd170da5-7981-4819-8439-262f054a1df0,2024-07-25 18:36:40,Processed,Than continue mission agent stock.,South America,2.0,2024-07-27 18:36:40,Emily Davis
e90d1fe3-8a21-444f-be4c-d11b127f850f,2024-05-28 15:41:19,Declined,Fast particular already direction no kind TV age.,Africa,0.0,,Angela Rodriguez
23b6928f-d50f-4f26-9595-969d84bf8c3b,2024-03-26 21:01:22,Pending,Must source several fight record nice suddenly even.,Asia,0.0,,Jane Doe
11b2d0b0-8585-4a3a-983d-ff2f07478bdb,2024-02-03 22:57:00,Declined,Institution own law drug bill.,Africa,0.0,,John Smith
1b0aa723-3475-4b13-b48f-8a1df72ba515,2024-10-19 22:20:11,Pending,Still professor small so daughter near simply. Cloud,North America,0.0,,Thomas White
127f7dae-035b-4aa1-8d1d-4c509afc5498,2024-05-25 04:01:01,Pending,Not road loss design onto program organization. Cloud,North America,0.0,,Emily Davis
65c7c74c-e78f-4789-a827-760cf96bdcdf,2024-09-05 11:37:15,Processed,Past company question force role subject. Automated,Europe,7.0,2024-09-12 11:37:15,Barbara Martinez
10933506-5c01-45b4-93a7-a3adce0b018e,2024-10-23 18:00:32,Processed,Model assume not woman realize stock east.,Asia,5.0,2024-10-28 18:00:32,William Brown
c5577f58-cb45-432e-9a17-a99ad65a5ee1,2024-01-01 04:54:23,Pending,Any current out hand admit. Travel,Europe,0.0,,Emily Davis
ebb3628d-8e9e-44d6-993d-c8691ec9a4e2,2024-08-14 04:17:31,Pending,Against never every idea top other.,North America,0.0,,Jessica Anderson
bc605763-da66-4d82-aa28-ba579ab8ff74,2024-05-06 14:44:09,Processed,Every approach yet music. Oracle,Africa,4.0,2024-05-10 14:44:09,Thomas White
a9ce7908-6ef0-4a1a-9328-7bedf37f1906,2024-05-15 18:18:24,Pending,Describe level party relationship street bank society moment. Server,Africa,0.0,,Charles Martin
f81d0bba-3e5d-436d-b11f-3728da42dda6,2024-02-16 07:28:01,Processed,Billion stay type our war newspaper claim.,South America,10.0,2024-02-26 07:28:01,Barbara Martinez
c7764d4a-ed03-4fee-9f3b-7bfee5e887e8,2024-08-03 13:40:03,Submitted,Major far Mr local walk performance inside. Cloud,South America,0.0,,Patricia Thompson
6cf736a6-4f42-4317-aa6f-554f5231c155,2024-07-17 10:32:52,Pending,Food affect positive lead physical statement. Travel,Europe,0.0,,Robert Taylor
7c103cf6-0c69-4242-9092-b67c97fe0444,2024-03-14 12:13:49,Processed,Answer its night property.,Asia,7.0,2024-03-21 12:13:49,Patricia Thompson
030d7abc-28f9-4499-9540-3950d4ff93f1,2024-06-18 23:39:03,Declined,Growth factor consumer issue. Automated,South America,0.0,,Jane Doe
4d8aa24d-bae9-4a5a-be11-df3c8549b957,2024-07-26 09:31:50,Processed,Town soldier discover position example focus society.,Africa,6.0,2024-08-01 09:31:50,Angela Rodriguez
3c747ac5-8e0b-4974-81a7-fd146b538897,2024-04-12 01:04:48,Processed,Would ever able remain. Automated,North America,7.0,2024-04-19 01:04:48,Thomas White
db694fee-c55e-4201-9379-9d056bb622e0,2024-04-18 05:53:44,Declined,Anyone out early write safe. Travel,South America,0.0,,Robert Taylor
c3f378a8-31aa-49f4-afd6-79b205bee523,2024-09-05 10:09:09,Declined,Call city early require center clearly. Server,North America,0.0,,Richard Thomas
e3ecc460-8ce1-4b3b-a41d-51a0dfc6c687,2024-01-31 11:45:10,Pending,Available difficult level claim heart view agreement.,North America,0.0,,Angela Rodriguez
62f59ab8-17c3-4e7c-b4b0-e8d64d63d8b6,2024-03-29 00:46:56,Submitted,Go network him imagine born. Automated,North America,0.0,,Patricia Thompson
db011cd7-67ab-42e7-86c3-45cd3855803e,2024-04-03 00:39:26,Declined,Remain treat need realize practice. Travel,North America,0.0,,Angela Rodriguez
3bcc5215-41ef-459f-99b7-daff73df18c9,2024-09-15 10:00:09,Submitted,However less under space.,Africa,0.0,,Patricia Thompson
4ea58ed4-86e0-40ae-b4ba-2eab53ec9cc4,2024-10-12 20:39:16,Processed,Bed pressure attorney minute too north. Server,Europe,3.0,2024-10-15 20:39:16,Lisa Harris
1432beed-9a25-45ac-8432-ceeec8e3f5ea,2024-07-13 15:04:44,Declined,Station career employee team too.,North America,0.0,,Jane Doe
32510b69-bf77-4634-ac71-6e54c5b1831b,2024-01-21 12:10:55,Submitted,Article house over social. Travel,North America,0.0,,Christopher Garcia
