caller_id,sys_updated_by,state,closed_at,closed_by,assigned_to,opened_at,number,sys_updated_on,short_description,assignment_group,priority,category
Bud Richman,system,Closed,2023-01-02 06:58:00.000000000,Howard Johnson,Beth Anglin,2023-01-01 06:58:00,INC0000000000,2023-01-02 06:58:00.000000000,VPN connection issue,Network,2 - High,Network
Don Goodliffe,admin,Closed,2023-01-03 18:04:00.000000000,Beth Anglin,Howard Johnson,2023-01-02 10:52:00,INC0000000001,2023-01-03 18:04:00.000000000,WiFi connectivity issue in the sales department,Network,2 - High,Network
David Loo,system,Resolved,2023-01-04 04:04:00.000000000,Luke Wilson,Fred Luddy,2023-01-02 20:52:00,INC0000000002,2023-01-04 04:04:00.000000000,Cannot connect to database,Database,2 - High,Database
Don Goodliffe,admin,Closed,2023-01-04 19:04:00.000000000,Luke Wilson,Howard Johnson,2023-01-03 04:40:00,INC0000000003,2023-01-04 19:04:00.000000000,Email system not working properly,Network,2 - High,Software
Bud Richman,employee,Resolved,2023-01-06 05:23:59.999999999,Charlie Whitherspoon,Charlie Whitherspoon,2023-01-04 07:48:00,INC0000000004,2023-01-06 05:23:59.999999999,Internet connectivity issue in the Marketing Department,Network,2 - High,Network
David Loo,employee,Closed,2023-01-07 09:34:00.000000000,Charlie Whitherspoon,Charlie Whitherspoon,2023-01-05 04:46:00,INC0000000005,2023-01-07 09:34:00.000000000,Email application not working,Service Desk,3 - Moderate,Software
David Loo,admin,Resolved,2023-01-10 03:22:59.999999999,Luke Wilson,Fred Luddy,2023-01-07 08:11:00,INC0000000006,2023-01-10 03:22:59.999999999,Internet connectivity issue in building 4,Network,3 - Moderate,Network
Don Goodliffe,admin,Closed,2023-01-12 11:14:00.000000000,Luke Wilson,Charlie Whitherspoon,2023-01-09 01:38:00,INC0000000007,2023-01-12 11:14:00.000000000,Email client not syncing properly,Software,3 - Moderate,Software
Don Goodliffe,system,Closed,2023-01-15 13:53:00.000000000,Howard Johnson,Charlie Whitherspoon,2023-01-11 13:53:00,INC0000000008,2023-01-15 13:53:00.000000000,Email client issues,Software,2 - High,Software
Bud Richman,admin,Resolved,2023-01-16 08:02:59.999999999,Howard Johnson,Charlie Whitherspoon,2023-01-12 00:51:00,INC0000000009,2023-01-16 08:02:59.999999999,Email client not syncing,Service Desk,3 - Moderate,Software
Don Goodliffe,system,Resolved,2023-01-16 12:48:59.999999999,Beth Anglin,Luke Wilson,2023-01-12 05:37:00,INC0000000010,2023-01-16 12:48:59.999999999,Unable to access database,Database,2 - High,Database
Bud Richman,system,Resolved,2023-01-16 13:29:59.999999999,Howard Johnson,Beth Anglin,2023-01-12 06:18:00,INC0000000011,2023-01-16 13:29:59.999999999,User unable to connect to the database,Database,2 - High,Database
ITIL User,admin,Resolved,2023-01-17 14:34:59.999999999,Howard Johnson,Beth Anglin,2023-01-13 00:11:00,INC0000000012,2023-01-17 14:34:59.999999999,Email system failure,Software,1 - Critical,Software
Don Goodliffe,admin,Resolved,2023-01-18 03:51:59.999999999,Fred Luddy,Luke Wilson,2023-01-13 13:28:00,INC0000000013,2023-01-18 03:51:59.999999999,Emails not sending,Network,3 - Moderate,Inquiry / Help
Don Goodliffe,employee,Resolved,2023-01-18 05:47:59.999999999,Fred Luddy,Fred Luddy,2023-01-13 15:24:00,INC0000000014,2023-01-18 05:47:59.999999999,Database connection issues,Database,2 - High,Database
David Loo,system,Resolved,2023-01-19 04:01:00.000000000,Charlie Whitherspoon,Luke Wilson,2023-01-14 06:25:00,INC0000000015,2023-01-19 04:01:00.000000000,Hardware malfunction on office desktop,Hardware,2 - High,Hardware
David Loo,system,Resolved,2023-01-20 15:47:00.000000000,Beth Anglin,Fred Luddy,2023-01-15 10:59:00,INC0000000016,2023-01-20 15:47:00.000000000,Database connection issue in production environment,Database,1 - Critical,Database
Don Goodliffe,system,Resolved,2023-01-20 23:51:00.000000000,Beth Anglin,Beth Anglin,2023-01-15 19:03:00,INC0000000017,2023-01-20 23:51:00.000000000,Server downtime issue,Network,1 - Critical,Network
Bud Richman,employee,Resolved,2023-01-21 00:00:00.000000000,Charlie Whitherspoon,Howard Johnson,2023-01-15 19:12:00,INC0000000018,2023-01-21 00:00:00.000000000,Cannot connect to database server,Database,2 - High,Database
David Loo,employee,Resolved,2023-01-21 23:22:00.000000000,Charlie Whitherspoon,Charlie Whitherspoon,2023-01-16 11:22:00,INC0000000019,2023-01-21 23:22:00.000000000,Email server connection issue,Network,2 - High,Network
David Loo,employee,Closed,2023-01-22 00:26:00.000000000,Beth Anglin,Luke Wilson,2023-01-16 12:26:00,INC0000000020,2023-01-22 00:26:00.000000000,Unable to connect to database,Database,2 - High,Database
ITIL User,system,Resolved,2023-01-22 05:02:00.000000000,Luke Wilson,Fred Luddy,2023-01-16 17:02:00,INC0000000021,2023-01-22 05:02:00.000000000,Cannot access database remotely,Database,2 - High,Database
ITIL User,admin,Resolved,2023-01-22 20:20:59.999999999,Fred Luddy,Luke Wilson,2023-01-17 01:09:00,INC0000000022,2023-01-22 20:20:59.999999999,Cannot connect to the office VPN,Network,2 - High,Network
