department,state,percent_complete,priority,target_percentage,category,sys_id,sys_updated_by,metric,end_date,start_date,owner,description
IT,Completed,95,Medium,93,Cost Reduction,G000000,admin,Expense Ratio,2022-12-25,2022-10-06,Ross Spurger,Reduce overall software licensing costs by negotiating multi-year contracts that are expected to lower annual expenditures by 20%.
HR,Completed,82,Medium,80,Efficiency,G000001,admin,Survey Score,2023-05-03,2022-08-11,Denice Nordlinger,Optimize IT support workflows to achieve a 20% improvement in ticket resolution time by automating routine inquiries.
Finance,Completed,61,High,59,Customer Satisfaction,G000002,admin,Expense Ratio,2023-02-26,2022-02-16,Cristopher Wiget,Develop and implement a new customer feedback system to increase customer satisfaction ratings by 20% over the next 12 months.
Marketing,In Progress,82,Low,92,Employee Satisfaction,G000003,admin,Expense Ratio,2022-10-31,2022-04-12,Logan Muhl,Develop and implement a quarterly employee feedback survey to enhance workplace environment and increase overall employee satisfaction by 20%.
IT,Completed,52,High,52,Employee Satisfaction,G000004,admin,Expense Ratio,2022-06-04,2022-03-11,Eva Seahorn,Increase the annual employee satisfaction score by 20% through enhancing workplace environment and hosting monthly team-building activities.
IT,Completed,94,Medium,92,Cost Reduction,G000005,admin,Expense Ratio,2023-03-12,2022-03-10,Nelly Jakuboski,"Reduce overall operating expenses by optimizing energy usage, targeting a 20% cost saving over the next fiscal year."
IT,In Progress,39,Critical,56,Employee Satisfaction,G000006,admin,Expense Ratio,2022-10-09,2022-01-07,Valerie Pou,Develop a series of staff engagement initiatives aimed at improving overall workplace satisfaction scores by 20% in the upcoming employee survey.
IT,In Progress,19,Critical,80,Efficiency,G000007,admin,Survey Score,2023-01-01,2022-07-04,Beverley Bunche,"Enhance the automated testing suite to reduce manual testing efforts by 40%, thereby improving software deployment cycles by 20%."
HR,Completed,74,Medium,72,Employee Satisfaction,G000008,admin,Sales Increase,2023-02-08,2022-04-06,Corinne Cowan,Develop and implement a quarterly team-building program aimed at improving employee satisfaction scores by 20% over the next fiscal year.
Marketing,In Progress,6,Critical,59,Customer Satisfaction,G000009,admin,Sales Increase,2023-05-13,2022-07-08,Jimmie Barninger,"Enhance the customer support portal to improve resolution times by 30%, thereby increasing overall customer satisfaction ratings."
IT,In Progress,84,Medium,95,Cost Reduction,G000010,admin,Survey Score,2022-07-21,2022-03-16,Terrell Rodda,"Develop a company-wide recycling initiative aiming to cut down raw material costs by 10% over the next financial year, reducing both spending and environmental impact."
HR,In Progress,45,High,70,Revenue Growth,G000011,admin,Employee Turnover Rate,2023-03-09,2022-10-27,survey user,Expand sales operations into two new international markets to increase overall revenue by 20% this fiscal year.
Finance,In Progress,36,Critical,88,Employee Satisfaction,G000012,admin,Employee Turnover Rate,2022-09-14,2022-04-21,Naomi Greenly,Increase employee satisfaction by improving workplace environment and team-building activities aiming at a 20% higher satisfaction score in the next annual survey.
Finance,Completed,78,Low,76,Cost Reduction,G000013,admin,Expense Ratio,2022-11-14,2022-05-23,Kyle Lindauer,"Reduce operational expenses by optimizing energy usage across all office locations, aiming for a minimal 20% reduction in utility costs over the next fiscal year."
