sys_updated_by,number,closed_by,state,caller_id,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority,category
system,INC0000000000,Fred Luddy,Resolved,Bud Richman,Charlie Whitherspoon,2023-01-01 03:53:00,2023-01-02 03:53:00.000000000,2023-01-02 03:53:00.000000000,Outage in internal network connectivity,Network,1 - Critical,Network
employee,INC0000000001,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-01-02 12:32:00,2023-01-16 10:29:06.760251500,2023-01-16 10:29:06.760251500,Network connectivity issues on third floor,Network,2 - High,Network
system,INC0000000002,Charlie Whitherspoon,Resolved,Bud Richman,Fred Luddy,2023-01-02 18:48:00,2023-01-03 18:48:00.000000000,2023-01-03 18:48:00.000000000,Unable to connect to VPN,Network,1 - Critical,Network
employee,INC0000000003,Beth Anglin,Closed,ITIL User,Fred Luddy,2023-01-02 22:06:00,2023-01-06 15:13:52.816579543,2023-01-06 15:13:52.816579543,VPN connection keeps dropping,Network,2 - High,Network
employee,INC0000000004,Luke Wilson,Resolved,David Loo,Fred Luddy,2023-01-05 18:51:00,2023-01-15 01:56:24.095567878,2023-01-15 01:56:24.095567878,Unable to access email account,Service Desk,2 - High,Inquiry / Help
admin,INC0000000005,Beth Anglin,Closed,Don Goodliffe,Beth Anglin,2023-01-06 18:19:00,2023-01-07 18:19:00.000000000,2023-01-07 18:19:00.000000000,Email system malfunction,Network,2 - High,Software
admin,INC0000000006,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-01-07 17:02:00,2023-01-16 10:12:55.345573378,2023-01-16 10:12:55.345573378,Unable to access email account,Service Desk,2 - High,Inquiry / Help
employee,INC0000000007,Beth Anglin,Resolved,Bud Richman,Fred Luddy,2023-01-07 21:36:00,2023-01-17 13:16:35.191378690,2023-01-17 13:16:35.191378690,Database Connectivity Issue,Database,2 - High,Database
system,INC0000000008,Howard Johnson,Resolved,David Loo,Fred Luddy,2023-01-08 11:54:00,2023-01-10 16:01:03.998221245,2023-01-10 16:01:03.998221245,Database connection interruption,Database,2 - High,Database
system,INC0000000009,Beth Anglin,Closed,Bud Richman,Fred Luddy,2023-01-08 19:27:00,2023-01-09 19:27:00.000000000,2023-01-09 19:27:00.000000000,SQL server not responding,Database,1 - Critical,Database
system,INC0000000010,Fred Luddy,Resolved,ITIL User,Fred Luddy,2023-01-09 19:30:00,2023-01-21 04:41:38.076124617,2023-01-21 04:41:38.076124617,Email system not functioning,Hardware,2 - High,Software
admin,INC0000000011,Beth Anglin,Closed,Don Goodliffe,Beth Anglin,2023-01-11 07:40:00,2023-01-18 00:10:50.483138081,2023-01-18 00:10:50.483138081,Internet connection issues,Network,2 - High,Network
system,INC0000000012,Fred Luddy,Resolved,ITIL User,Fred Luddy,2023-01-11 08:13:00,2023-01-19 21:52:41.529252454,2023-01-19 21:52:41.529252454,Unable to connect to WiFi network,Network,2 - High,Network
system,INC0000000013,Luke Wilson,Resolved,ITIL User,Fred Luddy,2023-01-11 19:37:00,2023-01-20 07:17:33.595832252,2023-01-20 07:17:33.595832252,Unable to connect to wifi,Network,2 - High,Network
employee,INC0000000014,Fred Luddy,Resolved,Don Goodliffe,Fred Luddy,2023-01-12 07:08:00,2023-01-26 09:44:46.074579166,2023-01-26 09:44:46.074579166,SQL Server database not responding,Database,1 - Critical,Database
system,INC0000000015,Charlie Whitherspoon,Closed,David Loo,Luke Wilson,2023-01-16 11:12:00,2023-01-25 03:10:58.007827252,2023-01-25 03:10:58.007827252,Outlook email not syncing properly,Service Desk,3 - Moderate,Software
admin,INC0000000016,Luke Wilson,Closed,Bud Richman,Fred Luddy,2023-01-16 16:43:00,2023-01-27 03:15:06.169533507,2023-01-27 03:15:06.169533507,Email server is down,Network,1 - Critical,Network
system,INC0000000017,Luke Wilson,Resolved,Bud Richman,Fred Luddy,2023-01-17 20:00:00,2023-01-23 11:05:28.031987899,2023-01-23 11:05:28.031987899,Server update required urgently,Database,1 - Critical,Network
admin,INC0000000018,Charlie Whitherspoon,Closed,Don Goodliffe,Fred Luddy,2023-01-19 06:52:00,2023-01-23 16:33:31.383321093,2023-01-23 16:33:31.383321093,Cannot connect to WiFi,Network,1 - Critical,Network
admin,INC0000000019,Howard Johnson,Closed,David Loo,Fred Luddy,2023-01-19 08:50:00,2023-01-29 15:46:56.291223938,2023-01-29 15:46:56.291223938,Unable to connect to VPN,Service Desk,2 - High,Network
admin,INC0000000020,Fred Luddy,Closed,Don Goodliffe,Fred Luddy,2023-01-20 20:32:00,2023-01-29 03:15:54.537810721,2023-01-29 03:15:54.537810721,Cannot access email server,Network,2 - High,Network
system,INC0000000021,Fred Luddy,Closed,Don Goodliffe,Howard Johnson,2023-01-21 06:30:00,2023-02-02 05:47:02.133671331,2023-02-02 05:47:02.133671331,Unable to connect to the Internet,Network,1 - Critical,Network
system,INC0000000022,Charlie Whitherspoon,Resolved,ITIL User,Fred Luddy,2023-01-21 07:14:00,2023-01-27 21:41:09.991007380,2023-01-27 21:41:09.991007380,Unable to access the company's database,Database,1 - Critical,Database
system,INC0000000023,Charlie Whitherspoon,Closed,Bud Richman,Beth Anglin,2023-01-21 16:14:00,2023-01-31 19:48:42.525026176,2023-01-31 19:48:42.525026176,Emails are not being received,Network,2 - High,Hardware
employee,INC0000000024,Howard Johnson,Closed,David Loo,Fred Luddy,2023-01-21 23:14:00,2023-01-22 23:14:00.000000000,2023-01-22 23:14:00.000000000,Cannot connect to the office VPN,Network,2 - High,Network
admin,INC0000000025,Luke Wilson,Resolved,Bud Richman,Howard Johnson,2023-01-22 01:06:00,2023-02-01 09:18:00.595059189,2023-02-01 09:18:00.595059189,VPN connectivity issues,Network,2 - High,Network
system,INC0000000026,Howard Johnson,Closed,David Loo,Fred Luddy,2023-01-22 07:51:00,2023-01-25 06:13:22.077481884,2023-01-25 06:13:22.077481884,Internet connectivity has issues,Network,2 - High,Network
employee,INC0000000027,Beth Anglin,Resolved,David Loo,Fred Luddy,2023-01-24 21:25:00,2023-01-28 02:04:48.072567446,2023-01-28 02:04:48.072567446,Unable to access CRM application,Software,2 - High,Software
admin,INC0000000028,Fred Luddy,Resolved,ITIL User,Fred Luddy,2023-01-25 22:31:00,2023-01-26 22:31:00.000000000,2023-01-26 22:31:00.000000000,Network server not responding,Network,2 - High,Network
