goal_id,status,owner,department,start_date,end_date,description,priority,percent_complete,target_percentage,goal_met
67643528-b1c7-460e-86c1-bde0fd51c4f1,Active,Richard Mcintosh,IT,2024-10-27,2025-02-05,Entire system think game certainly senior show identify.,Critical,82,80,True
30fd5024-927c-48b6-b41d-1f887d6d746b,Active,Ronald Smith,IT,2023-12-21,2025-02-18,Yard concern really deal some.,Critical,92,60,True
74a53363-d604-4cc5-b58c-52fd3c50993e,Active,Desiree Green,IT,2024-08-15,2025-02-01,Member sport arm.,Critical,84,62,True
17b76d8a-b0d2-4713-ae23-13dd43ace6de,Active,Jeremy Diaz,IT,2024-05-09,2024-07-30,Music church situation cultural.,Critical,83,62,True
916d4809-20b9-40ce-b6b8-f67b2e7363f4,Active,Julie Robinson,IT,2024-03-08,2024-09-10,Leader student analysis.,Critical,95,81,True
0e6ae125-5341-4b41-8896-980f6aa3965c,Active,Roy Moran,IT,2024-07-02,2024-10-15,Sometimes religious parent vote be.,Critical,96,75,True
cbc0811d-e749-4251-84cd-91ea3d344c1c,Active,Barbara Mcguire,IT,2024-06-05,2024-07-21,Perform majority here practice view art.,Critical,100,75,True
2ee127df-e6de-4785-9efd-381ce1bcb9f7,Active,Mark Brown,IT,2024-04-09,2024-11-16,Be though cold difference determine dinner.,Critical,91,81,True
f5b3f32a-b87d-4d54-a6b5-bf7566229e4d,Active,Jessica Powell,IT,2024-08-22,2024-09-29,Hour life by.,Critical,97,85,True
0232d8cf-2402-4a2a-bf21-bf87d0285ae4,Active,George Ortiz,IT,2024-08-03,2025-02-08,Call end the hope.,Critical,92,73,True
4552210d-8f58-400f-b6e9-2bcdb70cd1d9,Active,Amanda Myers,IT,2024-09-13,2024-09-17,Film friend my card.,Critical,85,81,True
8773461b-6c0c-4045-a53a-2d840da75f60,Active,Howard Munoz,IT,2024-07-28,2025-04-08,People special mother push.,Critical,100,88,True
8a007ea6-eb8a-43b0-9b72-d05d7fdaec3c,Active,Victoria Briggs,IT,2023-10-30,2024-12-21,Road leg game here person medical business.,Critical,97,62,True
159502b2-7c17-4750-adde-27fbc8571a4e,Active,Benjamin Williams,IT,2024-04-10,2024-07-13,Thank lot down Democrat.,Critical,91,76,True
8a73c85f-1577-42df-bf0f-66d7b9442094,Active,Ashley Oneal,IT,2024-05-08,2024-12-11,Century ago care finally anyone trial officer purpose.,Critical,88,88,True
5f74cef1-4768-4b4e-b771-e4c9f83b4ffc,Active,Tony Thornton,IT,2024-01-11,2025-04-18,Manager pay charge teacher yes store expect.,Critical,85,79,True
ecb343b9-3d76-4ffa-ac80-86261306ab36,Active,Savannah Fowler,IT,2023-11-19,2024-06-09,Focus media cell.,Critical,95,89,True
787bb39c-f6da-4128-ac55-aa79c4d2b250,Active,Kimberly Bell,IT,2024-08-07,2025-03-28,During by explain north detail amount morning.,Critical,94,79,True
c58da53c-88fa-4246-8427-f1f394e1be14,Active,Robert Ford,IT,2024-05-04,2024-07-21,Body fly clearly own will blood.,Critical,81,78,True
93187976-3a8c-45ab-9b7c-a5128d96a7e0,Active,Michael Medina,IT,2024-10-27,2025-03-28,Although mind water piece.,Critical,77,66,True
3acb3486-50df-4a48-bdbb-7262ea57c8d6,Active,Trevor Frye,IT,2023-11-18,2024-01-20,Commercial lot member condition environmental wrong tonight.,Critical,96,67,True
