sys_updated_by,number,closed_by,state,caller_id,category,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority
employee,INC0000000000,Howard Johnson,Resolved,Bud Richman,Database,Charlie Whitherspoon,2023-01-04 03:31:00,2023-01-15 09:55:21.731875788,2023-01-15 09:55:21.731875788,SQL database connection issue detected,Database,2 - High
admin,INC0000000001,Fred Luddy,Resolved,Bud Richman,Hardware,Charlie Whitherspoon,2023-01-04 21:25:00,2023-01-06 04:37:00.000000000,2023-01-06 04:37:00.000000000,Printer malfunctioning,Hardware,2 - High
admin,INC0000000002,Luke Wilson,Resolved,Bud Richman,Network,Charlie Whitherspoon,2023-01-06 23:08:00,2023-01-10 18:31:58.190473942,2023-01-10 18:31:58.190473942,Firewall issues blocking internet access,Network,1 - Critical
employee,INC0000000003,Beth Anglin,Resolved,Bud Richman,Software,Fred Luddy,2023-01-08 16:42:00,2023-01-11 01:19:41.146519913,2023-01-11 01:19:41.146519913,Application is crashing frequently,Software,2 - High
system,INC0000000004,Howard Johnson,Closed,Don Goodliffe,Software,Beth Anglin,2023-01-08 22:30:00,2023-01-08 12:40:42.091881242,2023-01-08 12:40:42.091881242,Database sync issue on software application,Software,2 - High
admin,INC0000000005,Beth Anglin,Closed,Bud Richman,Database,Luke Wilson,2023-01-10 14:46:00,2023-01-23 03:31:09.826139046,2023-01-23 03:31:09.826139046,Oracle Database Connection Issue,Database,2 - High
admin,INC0000000006,Howard Johnson,Closed,ITIL User,Hardware,Luke Wilson,2023-01-10 20:32:00,2023-01-12 18:07:59.999999999,2023-01-12 18:07:59.999999999,Monitor display issue,Hardware,2 - High
admin,INC0000000007,Howard Johnson,Resolved,Don Goodliffe,Database,Beth Anglin,2023-01-11 03:59:00,2023-01-21 21:23:20.977451136,2023-01-21 21:23:20.977451136,Unable to access Oracle DB on server,Database,2 - High
employee,INC0000000008,Beth Anglin,Resolved,Don Goodliffe,Database,Howard Johnson,2023-01-11 11:26:00,2023-01-22 01:07:37.572106059,2023-01-22 01:07:37.572106059,Slow performance issue on production database,Database,2 - High
admin,INC0000000009,Charlie Whitherspoon,Resolved,Bud Richman,Database,Charlie Whitherspoon,2023-01-11 16:45:00,2023-01-16 00:40:43.097336480,2023-01-16 00:40:43.097336480,Unable to access DB server,Database,2 - High
admin,INC0000000010,Fred Luddy,Resolved,Bud Richman,Network,Howard Johnson,2023-01-11 21:28:00,2023-01-21 04:17:45.077201153,2023-01-21 04:17:45.077201153,The main server is not responding to requests,Network,1 - Critical
system,INC0000000011,Howard Johnson,Resolved,ITIL User,Software,Beth Anglin,2023-01-13 03:14:00,2023-01-16 16:38:38.825870736,2023-01-16 16:38:38.825870736,Software Update Failed,Software,2 - High
employee,INC0000000012,Beth Anglin,Closed,David Loo,Network,Fred Luddy,2023-01-13 05:21:00,2023-01-17 10:41:09.240073362,2023-01-17 10:41:09.240073362,Troubles with network connection on Lab 3,Network,2 - High
