department,type,state,processed_date,user,amount,category,source_id,opened_at,number,short_description,ci
Customer Support,,Processed,2023-04-29 04:20:00,Shelley Groden,1158,Travel,,2023-04-23 04:20:00,EXP00000000,Travel related hardware asset,Dell Latitude 7420
Product Management,,Declined,,Mamie Mcintee,1988,Services,BME-72243876,2023-12-23 01:44:00,EXP00000001,Registered new service hardware asset,Virtual Private Network Service
Customer Support,,Pending,,Marianne Earman,5424,Assets,DKA-86353102,2023-06-02 19:47:00,EXP00000002,Asset Acquisition: High-Performance Dell Optiplex 7090,Dell Optiplex 7090
IT,,Processed,2023-04-05 00:44:00,Vernon Engelman,7724,Assets,DGP-68065803,2023-03-07 00:44:00,EXP00000003,Automatically recorded entry for new assets acquisition,Dell Latitude 7410
Customer Support,,Processed,2023-07-27 11:03:00,Mabel Weeden,7603,Assets,ZTI-08993736,2023-06-27 11:03:00,EXP00000004,Automatically created asset registration,Dell Latitude 7450
Sales,,Processed,2024-01-17 00:53:00,Melody Saddat,1092,Services,OJK-26689608,2024-01-13 00:53:00,EXP00000005,IT Service Hardware Asset - Server,Dell PowerEdge R740
Customer Support,,Processed,2023-11-19 11:13:00,Marcie Shulz,4984,Travel,,2023-10-30 11:13:00,EXP00000006,Automated expense report for travel-related asset,Travel Bag
Customer Support,,Processed,2024-01-02 21:07:00,Sue Haakinson,3122,Miscellaneous,,2023-12-21 21:07:00,EXP00000007,Hardware asset entry for Miscellaneous device,Miscellaneous Device 001
Customer Support,,Declined,,Owen Sparacino,5597,Assets,QBU-75536985,2023-07-31 17:37:00,EXP00000008,Acquisition of new network servers for IT department,Dell PowerEdge R940
Development,,Processed,2023-08-21 11:44:00,Cyril Behen,3189,Assets,AGD-13424214,2023-08-09 11:44:00,EXP00000009,Automated asset register entry,Company Car Honda Civic 2020
Sales,,Processed,2023-08-21 09:06:00,Essie Vaill,430,Services,BFL-52039523,2023-08-20 09:06:00,EXP00000010,Automatically generated expense line for creation of service asset,Cloud Service AWS
Customer Support,,Processed,2023-12-11 01:35:00,Carmel Overfelt,3975,Assets,SGX-83481202,2023-11-27 01:35:00,EXP00000011,Automatically generated asset line for Dell Precision 5540,Dell Precision 5540
Customer Support,,Submitted,,Marcie Shulz,333,Services,NMP-92834429,2023-11-23 22:38:00,EXP00000012,Services Hardware Provisioned,Cisco_AS5350_Universal_Gateway
IT,,Pending,,Sadie Rowlett,2809,Miscellaneous,,2024-02-21 04:31:00,EXP00000013,Miscellaneous hardware asset added into the system,Wireless Bluetooth Headset
Customer Support,,Declined,,Viola Mcsorley,5726,Travel,,2023-12-19 07:54:00,EXP00000014,Travel related hardware assets configuration,HP Elitebook 840 Travel Edition
Customer Support,,Processed,2023-10-11 23:29:00,Petra Mcnichol,2137,Miscellaneous,,2023-10-02 23:29:00,EXP00000015,Automatically logged asset for Miscellaneous item,Dell Precision Workstation
Customer Support,,Processed,2023-03-21 20:26:00,Viola Mcsorley,1482,Travel,,2023-03-16 20:26:00,EXP00000016,Travel expense for provision of mobile hardware asset,Dell Latitude 7420
Sales,,Processed,2024-04-16 23:27:00,Savannah Loffier,857,Services,CKM-21083369,2024-04-11 23:27:00,EXP00000017,Service-wide asset integration,Service Platform 1.0
Customer Support,,Submitted,,Valerie Pou,862,Services,QMX-77472925,2024-04-18 17:16:00,EXP00000018,Newly provisioned service asset,Cloud Database Service
Customer Support,,Processed,2023-08-30 14:21:00,Sal Pindell,3261,Miscellaneous,,2023-08-18 14:21:00,EXP00000019,Automatically generated expense line for creation of Miscellaneous asset,Miscellaneous Office Equipment
Customer Support,,Declined,,Sean Bonnet,3291,Assets,VYC-04119195,2024-03-25 15:19:00,EXP00000020,New server rack addition to Assets,Dell PowerEdge R940
Customer Support,,Submitted,,Sean Bonnet,4970,Travel,,2023-03-21 15:22:00,EXP00000021,Expense entry for travel related hardware asset,Travel Gear Pro Suitcase
IT,,Processed,2023-09-30 03:51:00,Virgil Chinni,1084,Miscellaneous,,2023-09-26 03:51:00,EXP00000022,Procurement of miscellaneous hardware asset,Dell Optiplex 3020
IT,,Processed,2023-10-24 03:14:00,Vernon Engelman,584,Services,NDZ-66775376,2023-10-20 03:14:00,EXP00000023,Provision of IT services asset,Cisco Network Services
HR,,Submitted,,Rosalie Krigger,8228,Assets,JQB-00237924,2023-11-01 08:00:00,EXP00000024,Asset registration for IT hardware,Dell Latitude 7400
Development,,Pending,,Ramon Amaral,2570,Travel,,2023-02-11 19:29:00,EXP00000025,Travel equipment asset registration,Travel Suitcase Model 5
Customer Support,,Submitted,,Ofelia Sheffler,743,Services,KFG-86181297,2024-01-30 07:38:00,EXP00000026,Automatically generated service asset,Virtual Private Network Service
Customer Support,,Pending,,Sal Pindell,1012,Services,JGH-20905813,2023-12-14 19:30:00,EXP00000027,Infrastructure service configuration for deployment of assets,Cloud Server Service
Sales,,Processed,2024-02-11 13:55:00,Howard Johnson,717,Services,DDF-71201058,2024-02-08 13:55:00,EXP00000028,ServiceNow Services hardware asset,Cloud Management Server
Customer Support,,Processed,2024-04-15 02:27:00,Viola Mcsorley,8180,Assets,SSV-53746400,2024-03-16 02:27:00,EXP00000029,Addition of new asset to the inventory,Dell Latitude 5410
Customer Support,,Processed,2024-01-19 06:09:00,Misty Ericksen,1495,Services,FAW-92733948,2024-01-13 06:09:00,EXP00000030,Automatically generated service asset,Web Hosting Services
Customer Support,,Processed,2023-04-24 02:54:00,Lynda Caraway,1058,Services,RFN-53108165,2023-04-19 02:54:00,EXP00000031,Installation of cloud services for IT assets,AWS Cloud Service
Finance,,Processed,2023-06-02 19:22:00,Fausto Marks,5497,Travel,,2023-05-12 19:22:00,EXP00000032,Allocation of travel essentials as hardware assets,Travel Kit 01
Development,,Processed,2024-01-24 18:00:00,Ramon Amaral,1691,Miscellaneous,,2024-01-17 18:00:00,EXP00000033,Miscellaneous hardware asset allocation,Monitor Dell 24
Development,,Processed,2024-01-24 10:28:00,Ramon Amaral,2854,Assets,ZXC-33787279,2024-01-13 10:28:00,EXP00000034,18.4 inch gaming laptop asset,Alienware Area-51m
