sys_updated_on,assigned_to,caller_id,opened_at,closed_by,number,state,sys_updated_by,closed_at,short_description,assignment_group,priority,category
2023-01-17 01:48:47.605837125,Fred Luddy,David Loo,2023-01-02 02:04:00,Charlie Whitherspoon,INC0000000000,Resolved,employee,2023-01-17 01:48:47.605837125,Unable to connect to VPN,Network,2 - High,Network
2023-01-05 05:14:35.878097363,Fred Luddy,Bud Richman,2023-01-03 04:22:00,Luke Wilson,INC0000000001,Resolved,employee,2023-01-05 05:14:35.878097363,Internet connectivity issues in the marketing department,Network,2 - High,Network
2023-01-05 01:49:30.958666302,Howard Johnson,Don Goodliffe,2023-01-03 08:33:00,Howard Johnson,INC0000000002,Resolved,admin,2023-01-05 01:49:30.958666302,Cannot access database,Database,1 - Critical,Database
2023-01-10 04:02:29.661776234,Howard Johnson,David Loo,2023-01-03 09:47:00,Howard Johnson,INC0000000003,Resolved,admin,2023-01-10 04:02:29.661776234,Email system failure,Network,1 - Critical,Network
2023-01-11 16:16:06.330792709,Charlie Whitherspoon,David Loo,2023-01-04 03:23:00,Beth Anglin,INC0000000004,Resolved,employee,2023-01-11 16:16:06.330792709,Email not syncing,Network,3 - Moderate,Software
2023-01-06 10:36:50.919891777,Fred Luddy,Don Goodliffe,2023-01-04 11:43:00,Fred Luddy,INC0000000005,Resolved,admin,2023-01-06 10:36:50.919891777,Outdated Database version issue,Database,3 - Moderate,Software
2023-01-23 09:59:24.401489616,Howard Johnson,ITIL User,2023-01-05 10:38:00,Howard Johnson,INC0000000006,Resolved,employee,2023-01-23 09:59:24.401489616,Cannot connect to the internet,Network,2 - High,Network
2023-01-06 21:03:36.841532301,Fred Luddy,Bud Richman,2023-01-05 17:47:00,Fred Luddy,INC0000000007,Resolved,admin,2023-01-06 21:03:36.841532301,Unable to connect VPN,Network,2 - High,Network
2023-01-16 23:42:29.970564860,Howard Johnson,Bud Richman,2023-01-06 21:39:00,Beth Anglin,INC0000000008,Closed,system,2023-01-16 23:42:29.970564860,Cannot connect to office Wi-Fi,Network,2 - High,Network
2023-01-29 17:46:53.437274941,Charlie Whitherspoon,David Loo,2023-01-07 17:04:00,Charlie Whitherspoon,INC0000000009,Resolved,admin,2023-01-29 17:46:53.437274941,Software update failed,Software,2 - High,Software
