category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,priority,assignement_group,user_satisfaction_score,rca_category,users_affected,estimated_cost,resolution_method
Database,Closed,2023-07-25 03:32:18.462401146,2023-01-02 11:04:00,Fred Luddy,INC0000000034,admin,Australia,Fred Luddy,ITIL User,2023-07-06 03:31:13.838619495,There was an issue,2 - High,Database,5,Configuration Error,956,59249.69634832202,Software Update
Hardware,Closed,2023-03-11 13:42:59.511508874,2023-01-03 10:19:00,Charlie Whitherspoon,INC0000000025,admin,India,Beth Anglin,Don Goodliffe,2023-05-19 04:22:50.443252112,There was an issue,1 - Critical,Hardware,3,User Error,836,27373.151743452087,Hardware Replacement
Database,Resolved,2023-01-20 14:37:18.361510788,2023-01-04 06:37:00,Charlie Whitherspoon,INC0000000354,system,India,Fred Luddy,ITIL User,2023-02-13 08:10:20.378839709,There was an issue,2 - High,Database,5,User Error,322,12768.561099289875,Apply Patch
Hardware,Resolved,2023-01-25 20:46:13.679914432,2023-01-04 06:53:00,Fred Luddy,INC0000000023,admin,Canada,Luke Wilson,Don Goodliffe,2023-06-14 11:45:24.784548040,There was an issue,2 - High,Hardware,4,User Error,404,31742.854753602984,Restart Service
Hardware,Closed,2023-05-10 22:35:58.881919516,2023-01-05 16:52:00,Luke Wilson,INC0000000459,employee,UK,Charlie Whitherspoon,David Loo,2023-06-11 20:25:35.094482408,There was an issue,2 - High,Hardware,4,Third-party Service Issue,804,23847.354806666837,Configuration Change
Inquiry / Help,Resolved,2023-12-27 23:15:06.590296403,2023-01-06 01:22:00,Beth Anglin,INC0000000157,system,Canada,Beth Anglin,Bud Richman,2023-01-25 20:46:13.679914432,There was an issue,1 - Critical,Inquiry / Help,5,Third-party Service Issue,245,21197.549598998605,Restart Service
Software,Resolved,2023-01-12 00:34:00.000000000,2023-01-06 06:14:00,Beth Anglin,INC0000000389,system,Australia,Luke Wilson,David Loo,2023-09-28 01:25:23.074702845,There was an issue,2 - High,Software,4,Third-party Service Issue,628,36971.0090258958,Hardware Replacement
Hardware,Closed,2023-05-31 03:23:19.484544434,2023-01-06 15:27:00,Luke Wilson,INC0000000152,admin,United States,Fred Luddy,Don Goodliffe,2023-07-15 22:29:05.785588895,There was an issue,4 - Low,Hardware,4,Third-party Service Issue,33,1124.7651604787509,Apply Patch
Hardware,Closed,2023-09-13 04:40:34.280556892,2023-01-07 15:20:00,Fred Luddy,INC0000000018,system,UK,Luke Wilson,David Loo,2023-12-28 23:19:22.500984917,There was an issue,4 - Low,Hardware,1,User Error,841,31453.62242251795,Hardware Replacement
Hardware,Resolved,2024-01-26 14:08:14.089327678,2023-01-08 08:53:00,Beth Anglin,INC0000000134,employee,United States,Beth Anglin,Bud Richman,2023-07-09 14:14:29.904659016,There was an issue,4 - Low,Hardware,1,Configuration Error,109,9165.860768957744,Configuration Change
Network,Resolved,2023-12-28 23:19:22.500984917,2023-01-09 09:58:00,Howard Johnson,INC0000000057,system,Australia,Beth Anglin,Don Goodliffe,2023-12-14 20:37:19.388113353,There was an issue,2 - High,Network,3,Hardware Failure,393,20965.830794298818,Software Update
Inquiry / Help,Closed,2023-08-05 08:06:09.262346306,2023-01-09 16:07:00,Charlie Whitherspoon,INC0000000434,system,Australia,Beth Anglin,David Loo,2023-02-26 16:29:16.807931635,There was an issue,1 - Critical,Inquiry / Help,3,User Error,136,5849.014547862287,Restart Service
Network,Resolved,2023-02-08 15:38:00.000000000,2023-01-10 10:06:00,Fred Luddy,INC0000000271,employee,United States,Fred Luddy,Don Goodliffe,2023-12-10 05:44:39.457781801,There was an issue,4 - Low,Network,1,Configuration Error,684,59774.86515964853,User Training
Network,Resolved,2023-12-06 22:33:01.700205220,2023-01-11 00:34:00,Charlie Whitherspoon,INC0000000411,admin,India,Howard Johnson,David Loo,2024-02-01 06:07:10.554650244,There was an issue,2 - High,Network,4,Configuration Error,182,11036.36077259139,Apply Patch
Network,Resolved,2023-05-06 08:53:56.696181202,2023-01-11 09:26:00,Luke Wilson,INC0000000490,admin,India,Howard Johnson,ITIL User,2024-01-04 10:16:12.278901784,There was an issue,2 - High,Network,2,Software Bug,477,7626.031088123726,User Training
Software,Resolved,2023-09-28 01:25:23.074702845,2023-01-11 16:40:00,Howard Johnson,INC0000000233,employee,Australia,Fred Luddy,Bud Richman,2023-10-03 08:53:36.796709606,There was an issue,3 - Moderate,Software,4,Configuration Error,354,6308.651423387532,Configuration Change
Hardware,Closed,2023-12-05 17:32:49.113615094,2023-01-11 18:29:00,Howard Johnson,INC0000000453,admin,UK,Fred Luddy,Bud Richman,2023-05-05 01:59:48.858836394,There was an issue,3 - Moderate,Hardware,1,Configuration Error,75,6486.518596975882,Apply Patch
Hardware,Resolved,2024-01-19 04:34:40.251168087,2023-01-13 00:44:00,Fred Luddy,INC0000000047,employee,Australia,Beth Anglin,ITIL User,2023-07-09 20:00:30.308403141,There was an issue,1 - Critical,Hardware,2,Network Problem,26,1175.2800222276749,Restart Service
Software,Closed,2023-04-13 09:52:00.000000000,2023-01-15 14:01:00,Charlie Whitherspoon,INC0000000210,admin,Australia,Fred Luddy,ITIL User,2023-02-04 02:43:53.446979933,There was an issue,1 - Critical,Software,3,User Error,246,13876.612106609904,User Training
Database,Resolved,2023-02-03 19:29:33.426983106,2023-01-16 04:28:00,Charlie Whitherspoon,INC0000000392,admin,India,Howard Johnson,Bud Richman,2023-04-26 13:43:55.256743773,There was an issue,3 - Moderate,Database,5,Hardware Failure,58,809.3290877010702,Restart Service
Software,Closed,2023-01-26 12:30:48.397896971,2023-01-16 06:28:00,Beth Anglin,INC0000000005,system,Australia,Beth Anglin,Don Goodliffe,2023-08-04 18:56:00.000000000,There was an issue,4 - Low,Software,2,Configuration Error,22,1533.1194732143342,User Training
Hardware,Resolved,2023-10-18 13:41:25.546404143,2023-01-17 06:29:00,Fred Luddy,INC0000000088,system,Canada,Luke Wilson,David Loo,2023-03-13 16:49:10.116400647,There was an issue,1 - Critical,Hardware,2,Configuration Error,762,40680.67883778057,Apply Patch
Network,Resolved,2023-05-13 13:14:46.388208661,2023-01-17 12:15:00,Beth Anglin,INC0000000100,admin,United States,Charlie Whitherspoon,David Loo,2023-04-04 19:04:22.181856865,There was an issue,3 - Moderate,Network,3,Software Bug,946,31954.59604854949,Configuration Change
Software,Closed,2023-02-14 04:41:35.236486606,2023-01-17 13:34:00,Beth Anglin,INC0000000237,system,UK,Charlie Whitherspoon,ITIL User,2023-10-08 04:30:10.854895991,There was an issue,1 - Critical,Software,5,User Error,237,15557.293357834309,Software Update
