category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority
Software,Closed,2023-01-03 11:04:00.000000000,2023-01-02 11:04:00,Charlie Whitherspoon,INC0000000000,admin,UK,Beth Anglin,David Loo,2023-01-03 11:04:00.000000000,Application error on office software,Software,2 - High
Hardware,Closed,2023-01-11 01:17:39.128189467,2023-01-03 10:19:00,Beth Anglin,INC0000000001,employee,Australia,Luke Wilson,Don Goodliffe,2023-01-11 01:17:39.128189467,Printer error at Printer-id: Printer546 in Australia,Hardware,2 - High
Hardware,Closed,2023-01-21 03:18:58.590910419,2023-01-04 06:37:00,Luke Wilson,INC0000000002,system,Australia,Fred Luddy,Don Goodliffe,2023-01-21 03:18:58.590910419,Printer745 is not working in Australia,Hardware,1 - Critical
Hardware,Resolved,2023-01-05 17:54:36.886511927,2023-01-04 06:53:00,Luke Wilson,INC0000000003,employee,Australia,Fred Luddy,ITIL User,2023-01-05 17:54:36.886511927,Printer issue reported on Printer546,Hardware,1 - Critical
Hardware,Closed,2023-01-06 16:52:00.000000000,2023-01-05 16:52:00,Fred Luddy,INC0000000004,employee,Australia,Fred Luddy,David Loo,2023-01-06 16:52:00.000000000,Printer123 failure in Australia,Hardware,1 - Critical
Network,Closed,2023-01-12 10:23:00.628645777,2023-01-06 01:22:00,Fred Luddy,INC0000000005,employee,India,Luke Wilson,ITIL User,2023-01-12 10:23:00.628645777,Unable to connect to the VPN from India,Network,1 - Critical
Software,Resolved,2023-01-14 09:42:31.239968317,2023-01-06 06:14:00,Fred Luddy,INC0000000006,system,Canada,Luke Wilson,Bud Richman,2023-01-14 09:42:31.239968317,Software crash on startup does not allow to work properly,Software,1 - Critical
Hardware,Closed,2023-01-13 03:44:31.383066130,2023-01-06 15:27:00,Luke Wilson,INC0000000007,admin,Australia,Charlie Whitherspoon,ITIL User,2023-01-13 03:44:31.383066130,Printer456 is not working,Hardware,1 - Critical
Hardware,Resolved,2023-01-08 15:20:00.000000000,2023-01-07 15:20:00,Luke Wilson,INC0000000008,system,United States,Charlie Whitherspoon,David Loo,2023-01-08 15:20:00.000000000,Fault in server hardware S09-US,Hardware,2 - High
Network,Resolved,2023-01-09 08:53:00.000000000,2023-01-08 08:53:00,Luke Wilson,INC0000000009,admin,UK,Beth Anglin,Bud Richman,2023-01-09 08:53:00.000000000,Can't connect to VPN,Network,2 - High
